date,reality,green1,green2,green3,blue1,blue2,blue3,med,min,max,error_min,error_med,error_max
2021-01-02,989.8775510204082,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,1011.9183673469387,0.7,0.7,0.7
2021-01-03,1008.2448979591837,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,1019.0204081632652,0.4,0.4,0.4
2021-01-04,1026.6122448979593,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,1026.1224489795918,-0,-0,-0
2021-01-05,1044.9795918367347,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,1033.2244897959183,-0.4,-0.4,-0.4
2021-01-06,1063.3469387755104,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,1040.3265306122448,-0.8,-0.8,-0.8
2021-01-07,1081.7142857142858,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,1047.4285714285713,-1.1,-1.1,-1.1
2021-01-08,1101.7142857142858,1054.5918367346937,1057.8571428571427,1059.4489795918366,1059.3673469387754,1059.204081632653,1060.6938775510203,1059.2857142857142,1054.5918367346937,1060.6938775510203,-1.6,-1.4,-1.4
2021-01-09,1121.7142857142858,1061.7551020408164,1068.2857142857142,1071.469387755102,1071.3061224489795,1070.9795918367347,1073.9591836734694,1071.142857142857,1061.7551020408164,1073.9591836734694,-2,-1.7,-1.6
2021-01-10,1141.7142857142858,1068.9183673469388,1078.7142857142856,1083.4897959183672,1083.2448979591836,1082.7551020408164,1087.2244897959183,1083,1068.9183673469388,1087.2244897959183,-2.4,-1.9,-1.8
2021-01-11,1161.7142857142858,1076.0816326530612,1089.142857142857,1095.5102040816328,1095.1836734693877,1094.5306122448978,1100.4897959183672,1094.8571428571427,1076.0816326530612,1100.4897959183672,-2.8,-2.2,-2
2021-01-12,1181.7142857142858,1083.2448979591836,1099.5714285714284,1107.530612244898,1107.1224489795918,1106.3061224489795,1113.7551020408162,1106.7142857142858,1083.2448979591836,1113.7551020408162,-3.2,-2.5,-2.2
2021-01-13,1201.7142857142858,1090.4081632653063,1110,1119.5510204081634,1119.061224489796,1118.0816326530612,1127.0204081632653,1118.5714285714284,1090.4081632653063,1127.0204081632653,-3.7,-2.7,-2.5
2021-01-14,1221.7142857142858,1097.5714285714287,1120.4285714285713,1131.5714285714287,1131,1129.857142857143,1140.2857142857142,1130.4285714285716,1097.5714285714287,1140.2857142857142,-4.1,-3,-2.7
2021-01-15,1239.857142857143,1097.4081632653063,1125.5714285714284,1153.734693877551,1133,1135.387755102041,1165.4897959183672,1134.1938775510205,1097.4081632653063,1165.4897959183672,-4.7,-3.5,-2.4
2021-01-16,1258,1097.2448979591836,1130.7142857142856,1175.8979591836735,1135,1140.9183673469388,1190.6938775510205,1137.9591836734694,1097.2448979591836,1190.6938775510205,-5.3,-4,-2.2
2021-01-17,1276.142857142857,1097.0816326530612,1135.8571428571427,1198.061224489796,1137,1146.4489795918369,1215.8979591836735,1141.7244897959185,1097.0816326530612,1215.8979591836735,-5.9,-4.4,-2
2021-01-18,1294.2857142857144,1096.9183673469388,1141,1220.2244897959185,1139,1151.9795918367347,1241.1020408163265,1146.4897959183672,1096.9183673469388,1241.1020408163265,-6.5,-4.9,-1.8
2021-01-19,1312.4285714285716,1096.7551020408164,1146.142857142857,1242.387755102041,1141,1157.5102040816328,1266.3061224489795,1151.8265306122448,1096.7551020408164,1266.3061224489795,-7.1,-5.3,-1.5
2021-01-20,1330.5714285714287,1096.5918367346937,1151.2857142857142,1264.5510204081634,1143,1163.0408163265306,1291.5102040816328,1157.1632653061224,1096.5918367346937,1291.5102040816328,-7.7,-5.7,-1.3
2021-01-21,1348.7142857142858,1096.4285714285713,1156.4285714285713,1286.7142857142858,1145,1168.5714285714287,1316.7142857142858,1162.5,1096.4285714285713,1316.7142857142858,-8.3,-6.1,-1.1
2021-01-22,1346.0408163265306,1100.265306122449,1166.7755102040815,1320.5102040816328,1149.5714285714287,1181.2448979591838,1356.061224489796,1174.0102040816328,1100.265306122449,1356.061224489796,-8.1,-5.7,0.3
2021-01-23,1343.3673469387757,1104.1020408163265,1177.1224489795918,1354.3061224489795,1154.142857142857,1193.9183673469388,1395.4081632653063,1185.5204081632653,1104.1020408163265,1395.4081632653063,-7.9,-5.2,1.7
2021-01-24,1340.6938775510205,1107.938775510204,1187.469387755102,1388.1020408163265,1158.7142857142858,1206.591836734694,1434.7551020408164,1197.0306122448978,1107.938775510204,1434.7551020408164,-7.7,-4.7,3.1
2021-01-25,1338.0204081632653,1111.7755102040815,1197.8163265306123,1421.8979591836735,1163.2857142857142,1219.265306122449,1474.1020408163265,1208.5408163265306,1111.7755102040815,1474.1020408163265,-7.5,-4.3,4.5
2021-01-26,1335.3469387755101,1115.612244897959,1208.1632653061224,1455.6938775510205,1167.857142857143,1231.938775510204,1513.4489795918366,1220.0510204081634,1115.612244897959,1513.4489795918366,-7.2,-3.8,5.9
2021-01-27,1332.6734693877552,1119.4489795918366,1218.5102040816328,1489.4897959183672,1172.4285714285713,1244.612244897959,1552.795918367347,1231.561224489796,1119.4489795918366,1552.795918367347,-7,-3.3,7.3
2021-01-28,1330,1123.2857142857142,1228.857142857143,1523.2857142857142,1177,1257.2857142857142,1592.142857142857,1243.0714285714284,1123.2857142857142,1592.142857142857,-6.8,-2.9,8.6
2021-01-29,1329.6938775510205,1128.2244897959183,1250.591836734694,1567.0408163265306,1184.5510204081634,1285.2244897959183,1649.3061224489795,1267.908163265306,1128.2244897959183,1649.3061224489795,-6.6,-2,10.5
2021-01-30,1329.3877551020407,1133.1632653061224,1272.3265306122448,1610.795918367347,1192.1020408163265,1313.1632653061224,1706.469387755102,1292.7448979591836,1133.1632653061224,1706.469387755102,-6.5,-1.2,12.4
2021-01-31,1329.0816326530612,1138.1020408163265,1294.061224489796,1654.5510204081634,1199.6530612244899,1341.1020408163265,1763.6326530612243,1317.5816326530612,1138.1020408163265,1763.6326530612243,-6.3,-0.4,14.3
2021-02-01,1328.7755102040817,1143.0408163265306,1315.795918367347,1698.3061224489795,1207.204081632653,1369.0408163265306,1820.795918367347,1342.4183673469388,1143.0408163265306,1820.795918367347,-6.1,0.4,16.2
2021-02-02,1328.4693877551022,1147.9795918367347,1337.530612244898,1742.061224489796,1214.7551020408164,1396.9795918367347,1877.9591836734694,1367.2551020408164,1147.9795918367347,1877.9591836734694,-5.9,1.3,18.1
2021-02-03,1328.1632653061224,1152.9183673469388,1359.265306122449,1785.8163265306123,1222.3061224489795,1424.9183673469388,1935.1224489795918,1392.091836734694,1152.9183673469388,1935.1224489795918,-5.8,2.1,20
2021-02-04,1327.857142857143,1157.857142857143,1381,1829.5714285714287,1229.857142857143,1452.857142857143,1992.2857142857142,1416.9285714285716,1157.857142857143,1992.2857142857142,-5.6,2.9,21.9
2021-02-05,1304.530612244898,1163.265306122449,1401.8775510204082,1896.5510204081634,1243.9183673469388,1490.4693877551022,2100.3469387755104,1446.1734693877552,1163.265306122449,2100.3469387755104,-4.7,4.7,26.2
2021-02-06,1281.204081632653,1168.6734693877552,1422.7551020408164,1963.530612244898,1257.9795918367347,1528.0816326530612,2208.408163265306,1475.4183673469388,1168.6734693877552,2208.408163265306,-3.7,6.4,30.5
2021-02-07,1257.8775510204082,1174.0816326530612,1443.6326530612246,2030.5102040816328,1272.0408163265306,1565.6938775510205,2316.469387755102,1504.6632653061224,1174.0816326530612,2316.469387755102,-2.8,8.1,34.9
2021-02-08,1234.5510204081634,1179.4897959183675,1464.5102040816325,2097.4897959183672,1286.1020408163265,1603.3061224489795,2424.530612244898,1533.908163265306,1179.4897959183675,2424.530612244898,-1.8,9.9,39.2
2021-02-09,1211.2244897959185,1184.8979591836735,1485.3877551020407,2164.469387755102,1300.1632653061224,1640.9183673469388,2532.591836734694,1563.1530612244896,1184.8979591836735,2532.591836734694,-0.9,11.6,43.5
2021-02-10,1187.8979591836735,1190.3061224489797,1506.265306122449,2231.448979591837,1314.2244897959183,1678.5306122448978,2640.6530612244896,1592.3979591836733,1190.3061224489797,2640.6530612244896,0.1,13.3,47.9
2021-02-11,1164.5714285714287,1195.7142857142858,1527.142857142857,2298.4285714285716,1328.2857142857142,1716.142857142857,2748.714285714286,1621.642857142857,1195.7142857142858,2748.714285714286,1,15.1,52.2
