date,reality,Median,Relaxation,Strenghtening,med,min,max,error_min,error_med,error_max,constant_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2020-10-08,711.8571428571429,713.7142857142857,,,713.7142857142857,713.7142857142857,713.7142857142857,0.1,0.1,0.1,711.8571428571429,,,
2020-10-09,766.3469387755102,767.6938775510204,,,767.6938775510204,767.6938775510204,767.6938775510204,0.0,0.0,0.0,711.8571428571429,,,
2020-10-10,820.8367346938776,821.6734693877551,,,821.6734693877551,821.6734693877551,821.6734693877551,0.0,0.0,0.0,711.8571428571429,,,
2020-10-11,875.3265306122448,875.6530612244898,,,875.6530612244898,875.6530612244898,875.6530612244898,0.0,0.0,0.0,711.8571428571429,,,
2020-10-12,929.8163265306122,929.6326530612246,,,929.6326530612246,929.6326530612246,929.6326530612246,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-13,984.3061224489796,983.6122448979592,,,983.6122448979592,983.6122448979592,983.6122448979592,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-14,1038.795918367347,1037.591836734694,,,1037.591836734694,1037.591836734694,1037.591836734694,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-15,1093.2857142857142,1091.571428571429,,,1091.571428571429,1091.571428571429,1091.571428571429,-0.1,-0.1,-0.1,711.8571428571429,,,
2020-10-16,1172.2244897959183,1170.7551020408164,,,1170.7551020408164,1170.7551020408164,1170.7551020408164,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-17,1251.1632653061224,1249.938775510204,,,1249.938775510204,1249.938775510204,1249.938775510204,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-18,1330.1020408163265,1329.1224489795918,,,1329.1224489795918,1329.1224489795918,1329.1224489795918,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-19,1409.0408163265306,1408.3061224489795,,,1408.3061224489795,1408.3061224489795,1408.3061224489795,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-20,1487.9795918367347,1487.4897959183677,,,1487.4897959183677,1487.4897959183677,1487.4897959183677,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-21,1566.9183673469388,1566.6734693877552,,,1566.6734693877552,1566.6734693877552,1566.6734693877552,-0.0,-0.0,-0.0,711.8571428571429,,,
2020-10-22,1645.857142857143,1645.857142857143,,,1645.857142857143,1645.857142857143,1645.857142857143,0.0,0.0,0.0,711.8571428571429,,,
2020-10-23,1721.571428571429,1722.6326530612246,,,1722.6326530612246,1722.6326530612246,1722.6326530612246,0.0,0.0,0.0,711.8571428571429,,,
2020-10-24,1797.2857142857142,1799.408163265306,,,1799.408163265306,1799.408163265306,1799.408163265306,0.1,0.1,0.1,711.8571428571429,,,
2020-10-25,1873.0,1876.1836734693877,,,1876.1836734693877,1876.1836734693877,1876.1836734693877,0.1,0.1,0.1,711.8571428571429,,,
2020-10-26,1948.7142857142856,1952.9591836734696,,,1952.9591836734696,1952.9591836734696,1952.9591836734696,0.1,0.1,0.1,711.8571428571429,,,
2020-10-27,2024.428571428571,2029.7346938775509,,,2029.7346938775509,2029.7346938775509,2029.7346938775509,0.2,0.2,0.2,711.8571428571429,,,
2020-10-28,2100.142857142857,2106.5102040816328,,,2106.5102040816328,2106.5102040816328,2106.5102040816328,0.2,0.2,0.2,711.8571428571429,,,
2020-10-29,2175.8571428571427,2183.285714285714,,,2183.285714285714,2183.285714285714,2183.285714285714,0.2,0.2,0.2,711.8571428571429,,,
2020-10-30,2196.7551020408164,2203.673469387755,,,2203.673469387755,2203.673469387755,2203.673469387755,0.2,0.2,0.2,711.8571428571429,,,
2020-10-31,2217.6530612244896,2224.0612244897957,,,2224.0612244897957,2224.0612244897957,2224.0612244897957,0.2,0.2,0.2,711.8571428571429,,,
2020-11-01,2238.5510204081634,2244.4489795918366,,,2244.4489795918366,2244.4489795918366,2244.4489795918366,0.2,0.2,0.2,711.8571428571429,,,
2020-11-02,2259.4489795918366,2264.8367346938776,,,2264.8367346938776,2264.8367346938776,2264.8367346938776,0.2,0.2,0.2,711.8571428571429,,,
2020-11-03,2280.3469387755104,2285.2244897959185,,,2285.2244897959185,2285.2244897959185,2285.2244897959185,0.2,0.2,0.2,711.8571428571429,,,
2020-11-04,2301.2448979591836,2305.612244897959,,,2305.612244897959,2305.612244897959,2305.612244897959,0.1,0.1,0.1,711.8571428571429,,,
2020-11-05,2322.1428571428573,2326.0,,,2326.0,2326.0,2326.0,0.1,0.1,0.1,711.8571428571429,,,
