date,reality,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,med,min,max,error_min,error_med,error_max,constant_baseline,arima_baseline,trend_baseline,holts_linear_baseline,damped_trend_baseline
2021-04-10,1758,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790,1790.0,1790,1790,1.1,1.1,1.1,1348.0,1961.4892588211296,1767.7142857142849,1880.3406687060549,
2021-04-11,1736,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774.0,1774,1774,1.3,1.3,1.3,1348.0,1985.5558885350165,1783.857142857142,1900.9134434117805,
2021-04-12,1713,1729,1704,1729,1704,1729,1704,1729,1704,1729,1704,1729,1704,1716.5,1704,1729,-0.3,0.1,0.5,1348.0,2009.6225182489031,1799.999999999999,1921.486218117506,
2021-04-13,1690,1728,1699,1728,1699,1728,1699,1728,1699,1728,1699,1728,1699,1713.5,1699,1728,0.3,0.8,1.3,1348.0,2033.68914796279,1816.142857142856,1942.0589928232316,
2021-04-14,1668,1717,1694,1717,1694,1717,1694,1717,1694,1717,1694,1717,1694,1705.5,1694,1717,0.9,1.2,1.6,1348.0,2057.7557776766766,1832.2857142857133,1962.6317675289577,
2021-04-15,1648,1687,1681,1687,1681,1687,1681,1687,1681,1687,1681,1687,1681,1684.0,1681,1687,1.1,1.2,1.3,1348.0,2081.8224073905635,1848.4285714285704,1983.204542234683,
2021-04-16,1630,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669.0,1669,1669,1.3,1.3,1.3,1348.0,2105.8890371044504,1864.5714285714275,2003.7773169404088,
2021-04-17,1614,1638,1664,1638,1664,1638,1664,1638,1664,1638,1664,1638,1664,1651.0,1638,1664,0.8,1.2,1.6,1348.0,2129.9556668183372,1880.7142857142849,2024.3500916461344,
2021-04-18,1597,1612,1645,1612,1645,1612,1645,1612,1645,1612,1645,1612,1645,1628.5,1612,1645,0.5,1.0,1.6,1348.0,2154.022296532224,1896.8571428571415,2044.9228663518595,
2021-04-19,1579,1603,1669,1603,1669,1603,1669,1603,1669,1603,1669,1603,1669,1636.0,1603,1669,0.8,1.9,3.0,1348.0,2178.088926246111,1912.9999999999989,2065.4956410575855,
2021-04-20,1559,1586,1689,1586,1689,1586,1689,1586,1689,1586,1689,1586,1689,1637.5,1586,1689,0.9,2.6,4.3,1348.0,2202.155555959998,1929.142857142856,2086.0684157633114,
2021-04-21,1537,1576,1666,1576,1666,1576,1666,1576,1666,1576,1666,1576,1666,1621.0,1576,1666,1.3,2.8,4.2,1348.0,2226.2221856738847,1945.285714285713,2106.6411904690367,
2021-04-22,1511,1560,1667,1560,1667,1560,1667,1560,1667,1560,1667,1560,1667,1613.5,1560,1667,1.6,3.4,5.1,1348.0,2250.2888153877716,1961.4285714285704,2127.2139651747625,
2021-04-23,1483,1560,1658,1560,1658,1560,1658,1560,1658,1560,1658,1560,1658,1609.0,1560,1658,2.5,4.2,5.8,1348.0,2274.3554451016585,1977.5714285714273,2147.7867398804883,
2021-04-24,1451,1541,1649,1541,1649,1541,1649,1541,1649,1541,1649,1541,1649,1595.0,1541,1649,3.0,4.7,6.5,1348.0,2298.4220748155453,1993.7142857142844,2168.3595145862137,
2021-04-25,1416,1479,1636,1479,1636,1479,1636,1479,1636,1479,1636,1479,1636,1557.5,1479,1636,2.1,4.7,7.2,1348.0,2322.488704529432,2009.8571428571415,2188.932289291939,
2021-04-26,1376,1459,1625,1459,1625,1459,1625,1459,1625,1459,1625,1459,1625,1542.0,1459,1625,2.7,5.5,8.2,1505.142857142857,2346.555334243319,2025.9999999999984,2209.505063997665,1381.17500007941
2021-04-27,1333,1446,1625,1446,1625,1446,1625,1446,1625,1446,1625,1446,1625,1535.5,1446,1625,3.7,6.7,9.6,1505.142857142857,2370.621963957206,2042.1428571428555,2230.0778387033906,1346.5241251115704
2021-04-28,1287,1414,1607,1414,1607,1414,1607,1414,1607,1414,1607,1414,1607,1510.5,1414,1607,4.2,7.4,10.5,1505.142857142857,2394.688593671093,2058.285714285713,2250.650613409116,1312.0465045185701
2021-04-29,1240,1386,1583,1386,1583,1386,1583,1386,1583,1386,1583,1386,1583,1484.5,1386,1583,4.8,8.1,11.3,1505.142857142857,2418.7552233849797,2074.4285714285697,2271.223388114842,1277.741272028535
2021-04-30,1193,1344,1561,1344,1561,1344,1561,1344,1561,1344,1561,1344,1561,1452.5,1344,1561,5.0,8.5,12.1,1505.142857142857,2442.8218530988665,2090.571428571427,2291.7961628205676,1243.6075657009499
2021-05-01,1146,1323,1538,1323,1538,1323,1538,1323,1538,1323,1538,1323,1538,1430.5,1323,1538,5.8,9.4,12.9,1505.142857142857,2466.8884828127534,2106.7142857142844,2312.368937526293,1209.6445279050029
2021-05-02,1099,1296,1542,1296,1542,1296,1542,1296,1542,1296,1542,1296,1542,1419.0,1296,1542,6.5,10.5,14.6,1505.142857142857,2490.9551125266403,2122.8571428571413,2332.9417122320187,1175.8513052980354
2021-05-03,1052,1278,1523,1278,1523,1278,1523,1278,1523,1278,1523,1278,1523,1400.5,1278,1523,7.4,11.5,15.5,1505.142857142857,2515.021742240527,2138.999999999998,2353.514486937745,1142.2270488041029
2021-05-04,1006,1260,1471,1260,1471,1260,1471,1260,1471,1260,1471,1260,1471,1365.5,1260,1471,8.4,11.8,15.3,1505.142857142857,2539.088371954414,2155.1428571428555,2374.08726164347,1108.77091359264
2021-05-05,961,1203,1446,1203,1446,1203,1446,1204,1446,1204,1446,1204,1446,1325.0,1203,1446,8.0,12.0,16.0,1505.142857142857,2563.155001668301,2171.285714285713,2394.6600363491957,1075.4820590572344
2021-05-06,917,1185,1438,1185,1438,1185,1438,1194,1438,1194,1438,1194,1438,1316.0,1185,1438,8.8,13.1,17.2,1505.142857142857,2587.221631382188,2187.4285714285697,2415.2328110549215,1042.3596487945058
2021-05-07,876,1165,1416,1165,1416,1165,1416,1171,1416,1171,1416,1171,1416,1293.5,1165,1416,9.5,13.8,17.8,1505.142857142857,2611.2882610960746,2203.5714285714266,2435.805585760647,1009.4028505830909
2021-05-08,836,1134,1393,1134,1393,1134,1393,1144,1393,1144,1393,1144,1393,1268.5,1134,1393,9.8,14.2,18.3,1505.142857142857,2635.3548908099615,2219.714285714284,2456.3783604663727,976.6108363627332
2021-05-09,797,1088,1373,1088,1373,1088,1373,1116,1373,1116,1373,1116,1373,1244.5,1088,1373,9.6,14.7,19.0,1505.142857142857,2659.4215205238484,2235.8571428571413,2476.9511351720985,943.9827822134771
2021-05-10,760,1060,1362,1060,1362,1060,1362,1067,1362,1067,1362,1067,1362,1214.5,1060,1362,9.9,15.0,19.8,1505.142857142857,2683.488150237735,2251.999999999998,2497.523909877824,911.5178683349673
2021-05-11,725,1025,1335,1025,1335,1025,1335,1037,1335,1037,1335,1037,1335,1186.0,1025,1335,9.9,15.2,20.1,1505.142857142857,2707.554779951622,2268.142857142855,2518.096684583549,879.2152790258501
2021-05-12,692,998,1317,998,1317,998,1317,1010,1317,1010,1317,1010,1317,1163.5,998,1317,10.1,15.5,20.6,1505.142857142857,2731.621409665509,2284.2857142857124,2538.669459289275,847.0742026632786
2021-05-13,661,971,1309,971,1309,971,1309,986,1309,986,1309,986,1309,1147.5,971,1309,10.2,16.0,21.3,1505.142857142857,2755.688039379396,2300.4285714285697,2559.242233995001,815.0938316825199
2021-05-14,632,945,1260,945,1260,945,1260,956,1260,956,1260,956,1260,1108.0,945,1260,10.3,15.7,20.7,1505.142857142857,2779.7546690932827,2316.5714285714266,2579.815008700726,783.2733625566648
2021-05-15,606,915,1211,915,1211,915,1211,926,1211,926,1211,926,1211,1068.5,915,1211,10.2,15.2,19.9,1505.142857142857,2803.8212988071696,2332.7142857142835,2600.387783406452,751.6119957764391
2021-05-16,582,890,1204,890,1204,890,1204,909,1204,909,1204,909,1204,1056.5,890,1204,10.1,15.6,20.5,1505.142857142857,2827.8879285210564,2348.857142857141,2620.9605581121778,720.1089358301145
2021-05-17,559,871,1190,871,1190,871,1190,883,1190,883,1190,883,1190,1036.5,871,1190,10.3,15.7,20.8,1505.142857142857,2851.9545582349433,2364.999999999998,2641.533332817903,688.7633911835215
2021-05-18,538,850,1168,850,1168,850,1172,861,1168,861,1168,861,1168,1014.5,850,1172,10.3,15.7,20.9,1505.142857142857,2876.02118794883,2381.142857142855,2662.106107523629,657.5745742601616
2021-05-19,518,832,1152,832,1180,832,1155,839,1152,839,1180,839,1180,995.5,832,1180,10.3,15.7,21.8,1505.142857142857,2900.087817662717,2397.285714285712,2682.6788822293547,626.5417014214185
2021-05-20,500,814,1159,814,1158,814,1156,821,1159,821,1158,821,1158,988.5,814,1159,10.3,16.1,21.7,1505.142857142857,2924.154447376604,2413.4285714285693,2703.25165693508,595.6639929468689
2021-05-21,484,795,1131,795,1161,795,1143,795,1131,829,1161,788,1161,980.0,788,1161,10.0,16.3,22.3,1505.142857142857,2948.221077090491,2429.5714285714266,2723.824431640806,564.9406730146922
2021-05-22,468,786,1102,786,1168,786,1134,778,1102,819,1168,781,1168,960.5,778,1168,10.2,16.2,23.1,1505.142857142857,2972.2877068043776,2445.7142857142835,2744.3972063465317,534.3709696821763
2021-05-23,454,773,1073,827,1176,763,1124,756,1044,806,1176,760,1176,935.5,756,1176,9.9,15.9,23.8,1505.142857142857,2996.3543365182645,2461.8571428571404,2764.969981052257,503.95411486632304
2021-05-24,439,764,1044,831,1184,768,1113,727,1030,797,1184,741,1034,930.5,727,1184,9.5,16.2,24.5,1505.142857142857,3020.4209662321514,2477.9999999999977,2785.542755757983,473.689344324549
2021-05-25,425,757,1045,833,1191,767,1104,704,1015,790,1191,726,1026,924.0,704,1191,9.2,16.4,25.2,1505.142857142857,3044.4875959460383,2494.142857142855,2806.1155304637086,443.5758976354838
2021-05-26,410,746,1029,826,1194,772,1093,687,1003,774,1078,706,1008,914.5,687,1194,9.1,16.6,25.8,1505.142857142857,3068.554225659925,2510.285714285712,2826.688305169434,413.61301817986396
2021-05-27,396,734,1018,831,1172,771,1091,665,1000,767,1089,697,1003,915.5,665,1172,8.9,17.1,25.6,1505.142857142857,3092.620855373812,2526.428571428569,2847.2610798751593,383.7999531215223
2021-05-28,382,718,1005,839,1182,773,1091,642,948,764,1063,682,997,893.5,642,1182,8.6,16.8,26.4,1505.142857142857,3116.687485087699,2542.571428571426,2867.833854580885,354.1359533884722
2021-05-29,368,698,1008,848,1200,769,1091,626,874,762,1054,672,974,861.0,626,1200,8.5,16.2,27.4,1505.142857142857,3140.7541148015857,2558.7142857142835,2888.406629286611,324.62027365408744
2021-05-30,353,689,991,859,1209,769,1090,603,856,743,1047,663,945,857.5,603,1209,8.2,16.6,28.2,1505.142857142857,3164.8207445154726,2574.8571428571404,2908.9794039923363,295.25217231837473
2021-05-31,339,679,968,868,1206,773,1086,589,833,735,1046,660,917,850.5,589,1206,8.2,16.8,28.6,1505.142857142857,3188.8873742293595,2590.9999999999973,2929.552178698062,266.0309114893405
2021-06-01,324,675,945,879,1228,773,1056,571,809,730,1036,647,895,844.0,571,1228,8.1,17.1,29.8,1505.142857142857,3212.9540039432463,2607.1428571428546,2950.124953403788,236.9557569644512
2021-06-02,310,662,927,892,1250,773,1046,557,805,727,1024,635,895,848.5,557,1250,8.1,17.7,31.0,1505.142857142857,3237.020633657133,2623.285714285712,2970.6977281095133,208.0259782121866
2021-06-03,297,657,922,897,1274,773,1075,539,770,719,1012,625,877,825.0,539,1274,8.0,17.4,32.2,1505.142857142857,3261.08726337102,2639.428571428569,2991.270502815239,179.2408483536833
2021-06-04,283,648,908,917,1293,773,1079,521,728,718,1001,613,853,813.0,521,1293,7.8,17.5,33.3,1505.142857142857,3285.153893084907,2655.5714285714257,3011.843277520965,150.59964414447268
2021-06-05,271,636,895,925,1292,772,1082,503,694,712,994,596,841,806.5,503,1292,7.6,17.6,33.6,1505.142857142857,3309.220522798794,2671.714285714283,3032.41605222669,122.10164595630795
2021-06-06,258,628,880,935,1309,764,1072,489,683,711,983,586,848,806.0,489,1309,7.6,18.1,34.6,1505.142857142857,3333.2871525126807,2687.8571428571404,3052.988826932416,93.74613775908415
2021-06-07,246,621,885,945,1317,765,1072,473,662,699,973,577,847,806.0,473,1317,7.5,18.4,35.3,1505.142857142857,3357.3537822265675,2703.9999999999973,3073.561601638142,65.53240710284626
2021-06-08,233,612,864,954,1326,765,1067,457,640,689,962,561,835,800.0,457,1326,7.4,18.7,36.0,1505.142857142857,3381.4204119404544,2720.142857142854,3094.134376343867,37.459745099889915
2021-06-09,221,603,845,963,1336,764,1062,439,625,681,949,548,830,797.0,439,1336,7.2,19.0,36.7,1505.142857142857,3405.4870416543413,2736.2857142857115,3114.707151049593,9.527446406948002
2021-06-10,209,593,823,972,1335,757,1058,424,552,672,947,538,766,761.5,424,1335,7.1,18.2,37.1,1505.142857142857,3429.553671368228,2752.428571428569,3135.279925755319,0.0
2021-06-11,197,581,801,982,1332,759,1049,411,526,668,927,527,752,755.5,411,1332,7.0,18.4,37.4,1505.142857142857,3453.620301082115,2768.5714285714257,3155.852700461044,0.0
2021-06-12,185,572,782,994,1331,768,1053,401,514,665,902,517,716,742.0,401,1331,7.1,18.3,37.7,1505.142857142857,3477.686930796002,2784.7142857142826,3176.4254751667695,0.0
2021-06-13,174,563,765,1003,1340,769,1051,382,517,658,877,517,697,731.0,382,1340,6.9,18.3,38.4,1505.142857142857,3501.7535605098888,2800.85714285714,3196.9982498724953,0.0
2021-06-14,163,554,765,1012,1364,765,1047,373,509,651,854,508,694,729.5,373,1364,6.9,18.7,39.6,1505.142857142857,3525.8201902237756,2816.9999999999973,3217.571024578221,0.0
