date,reality,R_09,R_1,R_11,med,min,max,error_min,error_med,error_max
2020-10-02,585.1224489795918,587.6938775510204,587.6938775510204,587.6938775510204,587.6938775510204,587.6938775510204,587.6938775510204,0.1,0.1,0.1
2020-10-03,606.2448979591837,607.8163265306123,607.8163265306123,607.8163265306123,607.8163265306123,607.8163265306123,607.8163265306123,0.1,0.1,0.1
2020-10-04,627.3673469387755,627.9387755102041,627.9387755102041,627.9387755102041,627.9387755102041,627.9387755102041,627.9387755102041,0,0,0
2020-10-05,648.4897959183673,648.0612244897959,648.0612244897959,648.0612244897959,648.0612244897959,648.0612244897959,648.0612244897959,-0,-0,-0
2020-10-06,669.6122448979593,668.1836734693877,668.1836734693877,668.1836734693877,668.1836734693877,668.1836734693877,668.1836734693877,-0,-0,-0
2020-10-07,690.7346938775511,688.3061224489796,688.3061224489796,688.3061224489796,688.3061224489796,688.3061224489796,688.3061224489796,-0.1,-0.1,-0.1
2020-10-08,711.8571428571429,708.4285714285714,708.4285714285714,708.4285714285714,708.4285714285714,708.4285714285714,708.4285714285714,-0.1,-0.1,-0.1
2020-10-09,766.3469387755102,765.1224489795918,765.1224489795918,765.1224489795918,765.1224489795918,765.1224489795918,765.1224489795918,-0,-0,-0
2020-10-10,820.8367346938776,821.8163265306123,821.8163265306123,821.8163265306123,821.8163265306123,821.8163265306123,821.8163265306123,0,0,0
2020-10-11,875.3265306122448,878.5102040816327,878.5102040816327,878.5102040816327,878.5102040816327,878.5102040816327,878.5102040816327,0.1,0.1,0.1
2020-10-12,929.8163265306122,935.204081632653,935.204081632653,935.204081632653,935.204081632653,935.204081632653,935.204081632653,0.2,0.2,0.2
2020-10-13,984.3061224489795,991.8979591836735,991.8979591836735,991.8979591836735,991.8979591836735,991.8979591836735,991.8979591836735,0.3,0.3,0.3
2020-10-14,1038.795918367347,1048.5918367346937,1048.5918367346937,1048.5918367346937,1048.5918367346937,1048.5918367346937,1048.5918367346937,0.3,0.3,0.3
2020-10-15,1093.2857142857142,1105.2857142857142,1105.2857142857142,1105.2857142857142,1105.2857142857142,1105.2857142857142,1105.2857142857142,0.4,0.4,0.4
2020-10-16,1172.2244897959183,1182.8775510204082,1182.8775510204082,1182.8775510204082,1182.8775510204082,1182.8775510204082,1182.8775510204082,0.4,0.4,0.4
2020-10-17,1251.1632653061224,1260.469387755102,1260.469387755102,1260.469387755102,1260.469387755102,1260.469387755102,1260.469387755102,0.3,0.3,0.3
2020-10-18,1330.1020408163265,1338.061224489796,1338.061224489796,1338.061224489796,1338.061224489796,1338.061224489796,1338.061224489796,0.3,0.3,0.3
2020-10-19,1409.0408163265306,1415.6530612244896,1415.6530612244896,1415.6530612244896,1415.6530612244896,1415.6530612244896,1415.6530612244896,0.2,0.2,0.2
2020-10-20,1487.9795918367347,1493.2448979591836,1493.2448979591836,1493.2448979591836,1493.2448979591836,1493.2448979591836,1493.2448979591836,0.2,0.2,0.2
2020-10-21,1566.9183673469388,1570.8367346938774,1570.8367346938774,1570.8367346938774,1570.8367346938774,1570.8367346938774,1570.8367346938774,0.1,0.1,0.1
2020-10-22,1645.857142857143,1648.4285714285713,1648.4285714285713,1648.4285714285713,1648.4285714285713,1648.4285714285713,1648.4285714285713,0.1,0.1,0.1
2020-10-23,1721.5714285714287,1724.2857142857142,1724.2857142857142,1724.2857142857142,1724.2857142857142,1724.2857142857142,1724.2857142857142,0.1,0.1,0.1
2020-10-24,1797.2857142857142,1800.142857142857,1800.142857142857,1800.142857142857,1800.142857142857,1800.142857142857,1800.142857142857,0.1,0.1,0.1
2020-10-25,1873,1876,1876,1876,1876,1876,1876,0.1,0.1,0.1
2020-10-26,1948.7142857142856,1951.857142857143,1951.857142857143,1951.857142857143,1951.857142857143,1951.857142857143,1951.857142857143,0.1,0.1,0.1
2020-10-27,2024.4285714285713,2027.7142857142858,2027.7142857142858,2027.7142857142858,2027.7142857142858,2027.7142857142858,2027.7142857142858,0.1,0.1,0.1
