date,reality,new_hosp_3A_R_1,new_hosp_3A_R_1_1,new_hosp_3A_R_1_2,new_hosp_3A_R_1_3,new_hosp_3C_R_1,new_hosp_3C_R_1_1,new_hosp_3C_R_1_2,new_hosp_3C_R_1_3,new_hosp_3E
2021-06-07,,218.8266478,253.9026947,304.7034288,348.6478735,180.9850741,201.2291153,239.19943,260.7274942,123.8772874
2021-06-08,,216.7755044,251.9177242,299.8740671,353.9724433,171.717582,188.0512589,230.265221,260.673929,116.6807223
2021-06-09,,213.1541176,252.0747276,300.2426711,357.7380835,165.8581544,184.213749,230.0703502,260.6599804,111.5274089
2021-06-10,,203.402382,242.1582255,300.2747097,358.3196542,159.7645989,172.1346906,224.2769011,260.5474062,90.73459818
2021-06-11,,198.1633694,242.1059388,295.9401351,372.8405093,151.7293864,167.6582768,217.400592,257.5650562,89.85520732
2021-06-12,,193.6874117,242.121872,300.1107469,374.5122341,147.5976468,160.8627647,214.6236127,256.496115,84.84393754
2021-06-13,,189.8577483,242.1551403,300.222044,385.5244697,138.7652742,168.1894454,218.6052556,256.460383,76.74267172
2021-06-14,,184.1079542,242.6791347,300.2289137,386.931944,129.8605895,164.1935044,205.3577447,255.9348265,73.26282575
2021-06-15,,180.3642962,237.5925632,300.2047129,396.7033717,125.8352873,158.1488355,201.8565469,252.3758774,67.33319928
2021-06-16,,174.9817634,236.4013725,299.9630779,402.1638448,119.5994396,155.4384541,200.3094779,252.268223,64.16062947
2021-06-17,,174.3298082,232.4892576,309.8728489,406.6738194,118.6506195,150.3754533,193.1441107,252.2904146,66.27432972
2021-06-18,,174.6095136,232.0775132,310.393534,416.7644137,108.3654575,150.5072735,193.4151885,252.6528859,57.92557711
2021-06-19,,165.0838482,222.4211207,314.6111636,418.8800982,109.5321563,147.3971839,193.5971621,247.9544183,58.71326786
2021-06-20,,163.7600292,223.260555,314.3343799,429.2352771,100.5777377,147.1769861,189.2204637,248.4303704,53.524763
2021-06-21,,161.2595369,220.1830186,320.1859648,440.4294864,100.2843794,141.8313,188.4483466,256.2551335,48.55723084
2021-06-22,,162.0229854,222.6439948,323.1017698,448.6448477,92.16392193,139.2729197,185.1261509,256.3323131,48.53103358
2021-06-23,,154.7584383,222.7482655,324.0025838,450.4377133,92.57562841,136.730976,185.2724578,253.8500438,48.80153484
2021-06-24,,150.1773597,222.7519616,329.2328881,464.8029462,93.99129858,134.0029082,176.9966539,256.8464693,40.52794738
2021-06-25,,149.7585854,222.7929596,328.6892781,475.7333357,83.35628061,130.8472615,177.3865449,256.4765671,38.86888362
2021-06-26,,140.0748649,224.1589754,341.0215678,485.1954007,79.932411,126.2246768,176.5675449,256.4621837,38.80982911
2021-06-27,,140.4054888,222.0931863,343.7538468,490.4210124,75.34885879,126.082755,172.1106818,256.4621349,38.80794418
2021-06-28,,140.4657371,222.7111535,343.953042,500.0644429,70.60092894,125.1346173,172.0532508,256.4667274,38.80674643
2021-06-29,,140.9364616,222.7502604,347.4213879,514.4351725,67.41851654,122.1087526,175.6927453,256.5622281,38.77524992
2021-06-30,,135.4261044,222.7522777,352.4610952,522.5992672,67.61012831,122.9977449,167.9208872,258.9177742,38.19357713
2021-07-01,,135.5868727,222.7523531,358.3558,532.5992132,59.71328263,116.8471902,168.1585832,260.591531,40.76780025
