date,Median,Relaxation,Strenghtening,reality_report,reality
2020-10-08,713.7142857142857,NA,NA,713.7142857142857,711.8571428571429
2020-10-09,767.6938775510204,NA,NA,767.6938775510204,766.3469387755102
2020-10-10,821.6734693877551,NA,NA,821.6734693877551,820.8367346938776
2020-10-11,875.6530612244898,NA,NA,875.6530612244898,875.3265306122448
2020-10-12,929.6326530612246,NA,NA,929.6326530612246,929.8163265306122
2020-10-13,983.6122448979593,NA,NA,983.6122448979593,984.3061224489795
2020-10-14,1037.591836734694,NA,NA,1037.591836734694,1038.795918367347
2020-10-15,1091.5714285714287,NA,NA,1091.5714285714287,1093.2857142857142
2020-10-16,1170.7551020408164,NA,NA,1170.7551020408164,1172.2244897959183
2020-10-17,1249.938775510204,NA,NA,1249.938775510204,1251.1632653061224
2020-10-18,1329.1224489795918,NA,NA,1329.1224489795918,1330.1020408163265
2020-10-19,1408.3061224489797,NA,NA,1408.3061224489797,1409.0408163265306
2020-10-20,1487.4897959183675,NA,NA,1487.4897959183675,1487.9795918367347
2020-10-21,1566.6734693877552,NA,NA,1566.6734693877552,1566.9183673469388
2020-10-22,1645.857142857143,NA,NA,1645.857142857143,1645.857142857143
2020-10-23,1722.6326530612246,NA,NA,1722.6326530612246,1721.5714285714287
2020-10-24,1799.408163265306,NA,NA,1799.408163265306,1797.2857142857142
2020-10-25,1876.1836734693877,NA,NA,1876.1836734693877,1873
2020-10-26,1952.9591836734694,NA,NA,1952.9591836734694,1948.7142857142856
2020-10-27,2029.7346938775509,NA,NA,2029.7346938775509,2024.4285714285713
2020-10-28,2106.5102040816328,NA,NA,2106.5102040816328,2100.142857142857
2020-10-29,2183.285714285714,NA,NA,2183.285714285714,2175.8571428571427
2020-10-30,2203.673469387755,NA,NA,2203.673469387755,2196.7551020408164
2020-10-31,2224.0612244897957,NA,NA,2224.0612244897957,2217.6530612244896
2020-11-01,2244.4489795918366,NA,NA,2244.4489795918366,2238.5510204081634
2020-11-02,2264.8367346938776,NA,NA,2264.8367346938776,2259.4489795918366
2020-11-03,2285.2244897959185,NA,NA,2285.2244897959185,2280.3469387755104
2020-11-04,2305.612244897959,NA,NA,2305.612244897959,2301.2448979591836
2020-11-05,2326,NA,NA,2326,2322.1428571428573
2020-11-06,2280.408163265306,NA,NA,2280.408163265306,2274.9387755102043
2020-11-07,2234.816326530612,NA,NA,2234.816326530612,2227.7346938775513
2020-11-08,2189.2244897959185,NA,NA,2189.2244897959185,2180.5306122448983
2020-11-09,2143.6326530612246,NA,NA,2143.6326530612246,2133.326530612245
2020-11-10,2098.0408163265306,NA,NA,2098.0408163265306,2086.122448979592
2020-11-11,2052.4489795918366,NA,NA,2052.4489795918366,2038.9183673469388
2020-11-12,2006.857142857143,NA,NA,2006.857142857143,1991.7142857142858
2020-11-13,1928.8979591836735,NA,NA,1928.8979591836735,1914.8979591836735
2020-11-14,1850.938775510204,NA,NA,1850.938775510204,1838.0816326530612
2020-11-15,1772.9795918367347,NA,NA,1772.9795918367347,1761.2653061224491
2020-11-16,1695.0204081632653,NA,NA,1695.0204081632653,1684.4489795918369
2020-11-17,1617.061224489796,NA,NA,1617.061224489796,1607.6326530612246
2020-11-18,1539.1020408163265,NA,NA,1539.1020408163265,1530.8163265306123
2020-11-19,1461.142857142857,NA,NA,1461.142857142857,1454
