date,R_1_2,R_1_1,R_1,R_0_9,R_0_8,R_0_7,reality_report,reality
2020-10-01,1016,1016,1016,1016,1016,1016,1243,1280
2020-10-02,1034,1034,1034,1034,1034,1034,1260,1304
2020-10-03,1081,1081,1081,1081,1081,1081,1348,1328
2020-10-04,1138,1138,1138,1138,1138,1138,1366,1353
2020-10-05,1168,1168,1168,1168,1168,1168,1373,1379
2020-10-06,1228,1228,1228,1228,1228,1228,1398,1407
2020-10-07,1248,1248,1248,1248,1248,1248,1413,1439
2020-10-08,1323,1323,1323,1323,1323,1323,1438,1474
2020-10-09,1381,1381,1381,1381,1381,1381,1431,1513
2020-10-10,1421,1421,1421,1421,1421,1421,1478,1557
2020-10-11,1505,1505,1505,1505,1505,1505,1539,1606
2020-10-12,1534,1534,1534,1534,1534,1534,1640,1661
2020-10-13,1609,1609,1609,1609,1609,1609,1695,1722
2020-10-14,1613,1613,1613,1613,1613,1613,1749,1789
2020-10-15,1721,1721,1721,1721,1721,1721,1822,1862
2020-10-16,1773,1773,1773,1773,1773,1773,1889,1941
2020-10-17,1870,1870,1870,1870,1870,1870,1971,2026
2020-10-18,1956,1956,1956,1956,1956,1956,2107,2116
2020-10-19,2038,2038,2038,2038,2038,2038,2209,2211
2020-10-20,2147,2147,2147,2147,2147,2147,2275,2310
2020-10-21,2256,2256,2256,2256,2256,2256,2368,2414
2020-10-22,2363,2363,2363,2363,2363,2363,2423,2521
2020-10-23,2492,2492,2492,2492,2492,2492,2568,2633
2020-10-24,2651,2651,2651,2651,2651,2651,2674,2749
2020-10-25,2769,2769,2769,2769,2769,2769,2823,2870
2020-10-26,2944,2944,2944,2944,2944,2944,2941,2996
2020-10-27,3097,3097,3097,3097,3097,3097,3052,3127
2020-10-28,3340,3340,3340,3340,3340,3340,NA,3262
2020-10-29,3529,3529,3529,3529,3529,3529,NA,3402
2020-10-30,3707,3707,3707,3707,3707,3707,NA,3544
2020-10-31,3919,3919,3919,3919,3919,3919,NA,3688
2020-11-01,4184,4184,4184,4184,4184,4184,NA,3833
2020-11-02,4381,4381,4381,4381,4381,4381,NA,3976
2020-11-03,4649,4649,4667,4646,4609,4396,NA,4115
2020-11-04,4892,4887,4842,4921,4723,4609,NA,4249
2020-11-05,5139,5106,5061,5122,4910,4858,NA,4374
2020-11-06,5377,5328,5287,5370,5102,5088,NA,4489
2020-11-07,5602,5591,5497,5411,5278,5262,NA,4591
2020-11-08,5824,5801,5697,5564,5466,5435,NA,4678
2020-11-09,6047,5998,5886,5685,5605,5514,NA,4750
2020-11-10,6274,6179,6018,5847,5704,5589,NA,4805
2020-11-11,6476,6308,6144,5915,5786,5633,NA,4843
2020-11-12,6659,6419,6251,5990,5840,5632,NA,4864
2020-11-13,6827,6572,6329,6060,5844,5625,NA,4866
2020-11-14,6996,6691,6393,6089,5828,5611,NA,4852
2020-11-15,7131,6783,6452,6080,5812,5511,NA,4821
2020-11-16,7281,6859,6469,6056,5730,5500,NA,4775
2020-11-17,7414,6928,6477,5992,5630,5344,NA,4716
2020-11-18,7540,6994,6477,5989,5535,5155,NA,4646
2020-11-19,7643,7027,6477,5960,5432,5057,NA,4566
2020-11-20,7742,7062,6445,5885,5342,4949,NA,4478
2020-11-21,7843,7078,6413,5802,5241,4762,NA,4384
2020-11-22,7938,7110,6368,5708,5147,4599,NA,4286
2020-11-23,8019,7110,6310,5563,5023,4423,NA,4184
2020-11-24,8099,7110,6235,5492,4914,4259,NA,4082
2020-11-25,8165,7110,6185,5381,4756,4091,NA,3981
2020-11-26,8224,7094,6118,5264,4583,3926,NA,3882
2020-11-27,8282,7069,6030,5112,4394,3751,NA,3786
2020-11-28,8333,7045,5953,5021,4245,3630,NA,3693
2020-11-29,8383,7013,5871,4924,4030,3427,NA,3604
2020-11-30,8425,6980,5785,4779,3878,3261,NA,3519
2020-12-01,8460,6946,5701,4590,3708,3114,NA,3438
2020-12-02,8494,6907,5600,4528,3599,2966,NA,3362
2020-12-03,8522,6868,5512,4404,3494,2821,NA,3291
2020-12-04,8538,6818,5414,4286,3393,2630,NA,3225
2020-12-05,8580,6768,5316,4161,3292,2538,NA,3163
2020-12-06,8587,6716,5228,4043,3173,2430,NA,3106
2020-12-07,8602,6659,5128,3886,3015,2273,NA,3053
2020-12-08,8612,6617,5027,3783,2893,2186,NA,3005
2020-12-09,8636,6550,4942,3709,2783,2052,NA,2961
2020-12-10,8636,6499,4842,3580,2674,1937,NA,2922
2020-12-11,8636,6444,4756,3479,2536,1843,NA,2887
2020-12-12,8628,6376,4656,3365,2425,1740,NA,2855
2020-12-13,8636,6315,4571,3264,2331,1641,NA,2826
2020-12-14,8643,6249,4469,3163,2220,1550,NA,2798
2020-12-15,NA,NA,NA,3100,2207,NA,NA,2773
