date,med_fig7b_exit1,min_fig7b_exit1,max_fig7b_exit1,med_fig7d_exit1,min_fig7d_exit1,max_fig7d_exit1,reality_report,reality
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1290,NA,1375,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1288,NA,1369,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1282,NA,1366,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1271,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1265,NA,1357,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1252,NA,1347,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1247,NA,1340,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1243,NA,1334,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1230,NA,1327,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1225,NA,1321,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1213,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1200,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1190,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1176,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1166,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
NA,1147,NA,NA,NA,NA,NA,NA,NA
