date,high,low,median,reality_report,reality
2021-07-01,NA,NA,NA,884,926
2021-07-02,NA,NA,NA,840,927
2021-07-03,NA,NA,NA,859,906
2021-07-04,NA,NA,NA,869,861
2021-07-05,NA,NA,NA,872,829
2021-07-06,NA,NA,NA,772,801
2021-07-07,NA,NA,NA,744,788
2021-07-08,NA,NA,NA,714,782
2021-07-09,NA,NA,NA,744,781
2021-07-10,NA,NA,NA,719,787
2021-07-11,NA,NA,NA,715,762
2021-07-12,NA,NA,NA,744,758
2021-07-13,NA,NA,NA,744,742
2021-07-14,NA,NA,NA,713,731
2021-07-15,NA,NA,NA,667,729
2021-07-16,NA,NA,NA,689,728
2021-07-17,NA,NA,NA,696,728
2021-07-18,NA,NA,NA,680,700
2021-07-19,NA,NA,NA,713,681
2021-07-20,NA,NA,NA,666,687
2021-07-21,NA,NA,NA,690,683
2021-07-22,NA,NA,NA,712,683
2021-07-23,NA,NA,NA,715,691
2021-07-24,NA,NA,NA,730,751
2021-07-25,NA,NA,NA,760,775
2021-07-26,NA,NA,NA,869,783
2021-07-27,NA,NA,NA,891,806
2021-07-28,NA,NA,NA,896,854
2021-07-29,NA,NA,NA,947,878
2021-07-30,NA,NA,NA,982,913
2021-07-31,NA,NA,NA,NA,1006
2021-08-01,NA,NA,NA,NA,1098
2021-08-02,NA,NA,NA,NA,1131
2021-08-03,NA,NA,NA,NA,1185
2021-08-04,NA,1064,1064,NA,1219
2021-08-05,NA,1052,1052,NA,1260
2021-08-06,NA,1141,1141,NA,1300
2021-08-07,NA,1219,1219,NA,1405
2021-08-08,NA,1308,1308,NA,1447
2021-08-09,NA,1393,1393,NA,1483
2021-08-10,NA,1425,1425,NA,1534
2021-08-11,2271,1484,"1877,5",NA,1564
2021-08-12,2446,1547,"1996,5",NA,1579
2021-08-13,2599,1602,"2100,5",NA,1593
2021-08-14,2764,1643,"2203,5",NA,1649
2021-08-15,2940,1673,"2306,5",NA,1690
2021-08-16,3104,1714,2409,NA,1720
2021-08-17,3310,1743,"2526,5",NA,1718
2021-08-18,3530,1770,2650,NA,1754
2021-08-19,3742,1781,"2761,5",NA,1769
2021-08-20,3952,1800,2876,NA,1786
2021-08-21,4158,1812,2985,NA,1856
2021-08-22,4421,1812,"3116,5",NA,1857
2021-08-23,4642,1796,3219,NA,1882
2021-08-24,4904,1781,"3342,5",NA,1897
2021-08-25,5110,1781,"3445,5",NA,1892
2021-08-26,5317,1748,"3532,5",NA,1879
2021-08-27,5580,1734,3657,NA,1897
2021-08-28,5788,1719,"3753,5",NA,1910
2021-08-29,5986,1690,3838,NA,1911
2021-08-30,6203,1659,3931,NA,1917
2021-08-31,6404,1628,4016,NA,1887
2021-09-01,6597,1594,"4095,5",NA,1878
2021-09-02,6780,1550,4165,NA,1853
2021-09-03,6908,1506,4207,NA,1847
2021-09-04,7089,1472,"4280,5",NA,1879
2021-09-05,7273,1437,4355,NA,1898
2021-09-06,7422,1393,"4407,5",NA,1869
2021-09-07,7537,1350,"4443,5",NA,1830
2021-09-08,7632,1316,4474,NA,1798
2021-09-09,7763,1270,"4516,5",NA,1776
2021-09-10,7825,1223,4524,NA,1772
2021-09-11,7894,1193,"4543,5",NA,1737
2021-09-12,7958,1147,"4552,5",NA,1673
2021-09-13,7977,1100,"4538,5",NA,1634
2021-09-14,8010,1065,"4537,5",NA,1621
2021-09-15,8026,1022,4524,NA,1572
2021-09-16,8020,977,"4498,5",NA,1524
2021-09-17,8009,943,4476,NA,1522
2021-09-18,8010,915,"4462,5",NA,1497
2021-09-19,7936,881,"4408,5",NA,1440
2021-09-20,7900,837,"4368,5",NA,1376
2021-09-21,7828,806,4317,NA,1332
2021-09-22,7745,765,4255,NA,1330
2021-09-23,7684,740,4212,NA,1322
2021-09-24,7604,712,4158,NA,1326
2021-09-25,7487,682,"4084,5",NA,1323
2021-09-26,7379,651,4015,NA,1275
2021-09-27,7286,630,3958,NA,1225
2021-09-28,7143,602,"3872,5",NA,1175
2021-09-29,7010,573,"3791,5",NA,1135
2021-09-30,6930,541,"3735,5",NA,1113
2021-10-01,NA,527,527,NA,1115
