date,high,low,median,reality_report,reality
2021-06-06,NA,NA,NA,NA,2393
2021-06-07,NA,NA,NA,NA,2335
2021-06-08,NA,NA,NA,NA,2257
2021-06-09,NA,NA,NA,NA,2195
2021-06-10,NA,NA,NA,NA,2118
2021-06-11,NA,NA,NA,NA,2038
2021-06-12,NA,NA,NA,NA,1981
2021-06-13,NA,NA,NA,NA,1977
2021-06-14,NA,NA,NA,NA,1942
2021-06-15,NA,NA,NA,1666,1824
2021-06-16,NA,NA,NA,1563,1749
2021-06-17,NA,1092,NA,1503,1677
2021-06-18,NA,1045,NA,1459,1617
2021-06-19,NA,956,NA,1420,1580
2021-06-20,NA,892,NA,1366,1575
2021-06-21,NA,830,NA,1370,1526
2021-06-22,NA,768,NA,1291,1433
2021-06-23,NA,727,NA,1250,1385
2021-06-24,NA,721,NA,1222,1320
2021-06-25,NA,659,NA,1169,1265
2021-06-26,NA,602,NA,1122,1223
2021-06-27,NA,549,NA,1098,1217
2021-06-28,NA,535,NA,1075,1177
2021-06-29,NA,463,NA,1048,1128
2021-06-30,NA,470,NA,1032,1075
2021-07-01,NA,452,NA,1002,1038
2021-07-02,NA,386,NA,949,995
2021-07-03,NA,365,NA,844,976
2021-07-04,NA,333,NA,845,977
2021-07-05,NA,324,NA,847,956
2021-07-06,NA,335,NA,842,911
2021-07-07,NA,320,NA,843,879
2021-07-08,NA,286,NA,839,851
2021-07-09,NA,258,NA,804,838
2021-07-10,NA,275,NA,791,832
2021-07-11,NA,213,NA,750,831
2021-07-12,NA,232,NA,720,837
2021-07-13,NA,218,NA,788,812
2021-07-14,NA,211,NA,793,808
2021-07-15,NA,200,NA,731,792
2021-07-16,NA,193,NA,750,781
2021-07-17,NA,207,NA,723,779
2021-07-18,NA,193,NA,774,778
2021-07-19,NA,216,NA,739,778
2021-07-20,NA,313,NA,766,750
2021-07-21,NA,317,NA,737,731
2021-07-22,NA,316,NA,774,737
2021-07-23,NA,378,NA,776,733
2021-07-24,NA,386,NA,801,733
2021-07-25,482,385,"433,5",807,741
2021-07-26,568,375,"471,5",NA,801
2021-07-27,570,425,"497,5",NA,825
2021-07-28,626,489,"557,5",NA,833
2021-07-29,660,512,586,NA,856
2021-07-30,686,549,"617,5",NA,904
2021-07-31,728,613,"670,5",NA,928
2021-08-01,800,674,737,NA,963
2021-08-02,882,751,"816,5",NA,1056
2021-08-03,974,813,"893,5",NA,1148
2021-08-04,1077,873,975,NA,1181
2021-08-05,1169,949,1059,NA,1235
2021-08-06,1271,1053,1162,NA,1269
2021-08-07,1373,1062,"1217,5",NA,1310
2021-08-08,1530,1151,"1340,5",NA,1350
2021-08-09,1655,1274,"1464,5",NA,1455
2021-08-10,1789,1374,"1581,5",NA,1497
2021-08-11,1988,1473,"1730,5",NA,1533
2021-08-12,2161,1574,"1867,5",NA,1584
2021-08-13,2322,1702,2012,NA,1614
2021-08-14,2555,1794,"2174,5",NA,1629
2021-08-15,2811,1880,"2345,5",NA,1643
2021-08-16,3087,1968,"2527,5",NA,1699
2021-08-17,3303,2002,"2652,5",NA,1740
2021-08-18,3579,2088,"2833,5",NA,1770
2021-08-19,3871,2172,"3021,5",NA,1768
2021-08-20,4136,2204,3170,NA,1804
2021-08-21,4477,2266,"3371,5",NA,1819
2021-08-22,4774,2352,3563,NA,1836
2021-08-23,5137,2435,3786,NA,1906
2021-08-24,5393,2481,3937,NA,1907
2021-08-25,5737,2527,4132,NA,1932
2021-08-26,6169,2561,4365,NA,1947
2021-08-27,6452,2558,4505,NA,1942
2021-08-28,6961,2585,4773,NA,1929
2021-08-29,7303,2615,4959,NA,1947
2021-08-30,7681,2639,5160,NA,1960
2021-08-31,8120,2659,"5389,5",NA,1961
2021-09-01,8427,2657,5542,NA,1967
2021-09-02,8681,2658,"5669,5",NA,1937
2021-09-03,9112,2653,"5882,5",NA,1928
2021-09-04,9468,2629,"6048,5",NA,1903
2021-09-05,9789,2598,"6193,5",NA,1897
2021-09-06,10132,2568,6350,NA,1929
2021-09-07,10392,2545,"6468,5",NA,1948
2021-09-08,10686,2530,6608,NA,1919
2021-09-09,10910,2511,"6710,5",NA,1880
2021-09-10,11141,2471,6806,NA,1848
2021-09-11,11305,2476,"6890,5",NA,1826
2021-09-12,11515,2432,"6973,5",NA,1822
2021-09-13,11691,2376,"7033,5",NA,1787
2021-09-14,11843,2326,"7084,5",NA,1723
2021-09-15,11946,2314,7130,NA,1684
2021-09-16,11995,2258,"7126,5",NA,1671
2021-09-17,12044,2221,"7132,5",NA,1622
2021-09-18,12025,2226,"7125,5",NA,1574
2021-09-19,12024,2163,"7093,5",NA,1572
2021-09-20,12043,2101,7072,NA,1547
2021-09-21,11974,2041,"7007,5",NA,1490
2021-09-22,11871,2002,"6936,5",NA,1426
2021-09-23,11769,1969,6869,NA,1382
2021-09-24,11652,1933,"6792,5",NA,1380
2021-09-25,11474,1856,6665,NA,1372
2021-09-26,11292,1802,6547,NA,1376
2021-09-27,11075,1722,"6398,5",NA,1373
2021-09-28,10862,1648,6255,NA,1325
2021-09-29,10734,1660,6197,NA,1275
2021-09-30,10475,1647,6061,NA,1225
2021-10-01,10294,NA,NA,NA,1185
