date,low,high,median,reality_report,reality
2020-10-01,3397,3397,3397,3397,3948
2020-10-08,4073,4073,4073,4073,4983
2020-10-15,6657,6657,6657,6657,7653
2020-10-22,10576,10576,10576,10576,11521
2020-10-29,15757,15757,15757,15757,15231
2020-11-05,17410,17410,17410,17410,16255
2020-11-12,12884,12884,12884,12884,13942
2020-11-19,9622,9622,9622,9622,10178
2020-11-26,8054,8054,8054,8054,7705
2020-12-03,7349,7349,7349,7349,7202
2020-12-10,6483,6483,6483,6483,6894
2020-12-17,6763,6763,6763,6763,6896
2020-12-24,6757,6757,6757,6757,6296
2020-12-31,6984,6984,6984,6984,6672
2021-01-07,7332,7332,7332,7332,7572
2021-01-14,7683,7921,7802,NA,8552
2021-01-21,7675,9007,8341,NA,9441
2021-01-28,7863,10663,9263,NA,9310
2021-02-04,8105,12807,10456,NA,9295
2021-02-11,8370,16089,"12229,5",NA,8152
2021-02-18,8832,20082,14457,NA,8005
2021-02-25,9530,26623,"18076,5",NA,8290
2021-03-04,10400,34680,22540,NA,8498
2021-03-11,12183,NA,NA,NA,8874
2021-03-18,14479,NA,NA,NA,10213
2021-03-25,18252,NA,NA,NA,11444
2021-04-01,23428,NA,NA,NA,12492
2021-04-08,29494,NA,NA,NA,12140
