date,high,low,median,reality_report,reality
2021-06-15,1385,362,"873,5",NA,182
2021-06-16,1410,349,"879,5",NA,172
2021-06-17,1428,340,884,NA,163
2021-06-18,1439,332,"885,5",NA,155
2021-06-19,1461,322,"891,5",NA,147
2021-06-20,1466,310,888,NA,140
2021-06-21,1486,301,"893,5",NA,134
2021-06-22,1510,295,"902,5",NA,128
2021-06-23,1531,287,909,NA,123
2021-06-24,1547,281,914,NA,118
2021-06-25,1554,272,913,NA,114
2021-06-26,1563,264,"913,5",NA,111
2021-06-27,1572,262,917,NA,108
2021-06-28,1585,249,917,NA,105
2021-06-29,NA,245,NA,NA,102
2021-06-30,NA,236,NA,NA,99
2021-07-01,NA,229,NA,NA,97
