date,high,low,median,reality_report,reality
2021-01-01,1018,1018,1018,1018,1019
2021-01-02,1017,1017,1017,1017,1031
2021-01-03,1034,1034,1034,1034,1044
2021-01-04,1055,1055,1055,1055,1058
2021-01-05,1053,1053,1053,1053,1071
2021-01-06,1082,1082,1082,1082,1085
2021-01-07,1104,1104,1104,1104,1100
2021-01-08,1102,1102,1102,1102,1114
2021-01-09,1111,1111,1111,1111,1130
2021-01-10,1136,1136,1136,1136,1147
2021-01-11,1156,1156,1156,1156,1167
2021-01-12,1165,1165,1165,1165,1187
2021-01-13,1188,1188,1188,1188,1208
2021-01-14,1210,1210,1210,1210,1229
2021-01-15,1209,1209,1209,1209,1250
2021-01-16,1230,1230,1230,1230,1271
2021-01-17,1256,1256,1256,1256,1292
2021-01-18,1254,1254,1254,1254,1310
2021-01-19,1307,1307,1307,1307,1325
2021-01-20,1332,1332,1332,1332,1337
2021-01-21,1331,1331,1331,1331,1347
2021-01-22,1339,1339,1339,1339,1353
2021-01-23,1340,1340,1340,1340,1358
2021-01-24,1352,1352,1352,1352,1361
2021-01-25,1362,1362,1362,1362,1363
2021-01-26,1360,1360,1360,1360,1364
2021-01-27,1360,1360,1360,1360,1365
2021-01-28,1362,1362,1362,1362,1365
2021-01-29,1356,1356,1356,1356,1364
2021-01-30,1340,1340,1340,1340,1361
2021-01-31,1341,1341,1341,1341,1357
2021-02-01,1331,1331,1331,1331,1350
2021-02-02,1322,1322,1322,1322,1341
2021-02-03,1314,1314,1314,1314,1330
2021-02-04,1296,1296,1296,1296,1316
2021-02-05,1278,1278,1278,1278,1300
2021-02-06,1262,1262,1262,1262,1281
2021-02-07,1250,1250,1250,1250,1260
2021-02-08,1240,1240,1240,1240,1239
2021-02-09,1233,1233,1233,1233,1217
2021-02-10,1216,1216,1216,1216,1197
2021-02-11,1191,1191,1191,1191,1179
2021-02-12,1185,1185,1185,1185,1165
2021-02-13,1182,1182,1182,1182,1153
2021-02-14,1150,1150,1150,1150,1145
2021-02-15,1132,1132,1132,1132,1141
2021-02-16,1144,1144,1144,1144,1140
2021-02-17,1152,1152,1152,1152,1142
2021-02-18,1161,1161,1161,1161,1146
2021-02-19,1161,1161,1161,1161,1152
2021-02-20,1160,1160,1160,1160,1160
2021-02-21,1173,1173,1173,1173,1169
2021-02-22,1188,1188,1188,1188,1178
2021-02-23,1187,1187,1187,1187,1188
2021-02-24,1203,1203,1203,1203,1196
2021-02-25,1189,1189,1189,1189,1203
2021-02-26,1188,1188,1188,1188,1209
2021-02-27,1195,1195,1195,1195,1212
2021-02-28,1195,1195,1195,1195,1214
2021-03-01,1211,1211,1211,1211,1215
2021-03-02,1205,1205,1205,1205,1217
2021-03-03,1198,1198,1198,1198,1218
2021-03-04,1200,1200,1200,1200,1220
2021-03-05,1209,1209,1209,1209,1224
2021-03-06,1218,1218,1218,1218,1228
2021-03-07,1218,1218,1218,1218,1235
2021-03-08,1235,1235,1235,1235,1244
2021-03-09,1245,1245,1245,1245,1256
2021-03-10,1253,1253,1253,1253,1270
2021-03-11,1270,1270,1270,1270,1288
2021-03-12,1281,1281,1281,1281,1310
2021-03-13,1294,1294,1294,1294,1333
2021-03-14,1318,1318,1318,1318,1360
2021-03-15,1348,1348,1348,1348,1387
2021-03-16,1390,1390,1390,1390,1416
2021-03-17,1430,1430,1430,1430,1446
2021-03-18,1453,1453,1453,1453,1477
2021-03-19,1467,1467,1467,1467,1506
2021-03-20,1479,1479,1479,1479,1534
2021-03-21,1516,1516,1516,1516,1559
2021-03-22,1542,1542,1542,1542,1582
2021-03-23,1569,1569,1569,1569,1605
2021-03-24,1595,1595,1595,1595,1628
2021-03-25,1641,1641,1641,1641,1652
2021-03-26,1656,1656,1656,1656,1676
2021-03-27,1669,1669,1669,1669,1700
2021-03-28,1692,1692,1692,1692,1723
2021-03-29,1729,1729,1729,1729,1747
2021-03-30,1746,1746,1746,1746,1769
2021-03-31,1765,1765,1765,1765,1790
2021-04-01,1780,1780,1780,1780,1810
2021-04-02,1788,1788,1788,1788,1828
2021-04-03,1811,1811,1811,1811,1841
2021-04-04,1808,1808,1808,1808,1849
2021-04-05,1821,1821,1821,1821,1850
2021-04-06,1837,1837,1837,1837,1846
2021-04-07,1836,1836,1836,1836,1836
2021-04-08,1836,1836,1836,1836,1824
2021-04-09,1810,1810,1810,1810,1808
2021-04-10,1790,1790,1790,1790,1788
2021-04-11,1774,1774,1774,1774,1766
2021-04-12,1704,1729,"1716,5",1729,1743
2021-04-13,1699,1728,"1713,5",1728,1720
2021-04-14,1694,1717,"1705,5",1717,1698
2021-04-15,1681,1687,1684,1687,1678
2021-04-16,1669,1669,1669,1669,1660
2021-04-17,1664,1638,1651,1638,1644
2021-04-18,1645,1612,"1628,5",1612,1627
2021-04-19,1669,1603,1636,1603,1609
2021-04-20,1689,1586,"1637,5",1586,1589
2021-04-21,1666,1576,1621,1576,1567
2021-04-22,1667,1560,"1613,5",1560,1541
2021-04-23,1658,1560,1609,1560,1513
2021-04-24,1649,1541,1595,1541,1481
2021-04-25,1636,1479,"1557,5",NA,1446
2021-04-26,1625,1459,1542,NA,1406
2021-04-27,1625,1446,"1535,5",NA,1363
2021-04-28,1607,1414,"1510,5",NA,1317
2021-04-29,1583,1386,"1484,5",NA,1270
2021-04-30,1561,1344,"1452,5",NA,1223
2021-05-01,1538,1323,"1430,5",NA,1176
2021-05-02,1542,1296,1419,NA,1129
2021-05-03,1523,1278,"1400,5",NA,1082
2021-05-04,1471,1260,"1365,5",NA,1036
2021-05-05,1446,1204,1325,NA,991
2021-05-06,1438,1194,1316,NA,947
2021-05-07,1416,1171,"1293,5",NA,906
2021-05-08,1393,1144,"1268,5",NA,866
2021-05-09,1373,1116,"1244,5",NA,827
2021-05-10,1362,1067,"1214,5",NA,790
2021-05-11,1335,1037,1186,NA,755
2021-05-12,1317,1010,"1163,5",NA,722
2021-05-13,1309,986,"1147,5",NA,691
2021-05-14,1260,956,1108,NA,662
2021-05-15,1211,926,"1068,5",NA,636
2021-05-16,1204,909,"1056,5",NA,612
2021-05-17,1190,883,"1036,5",NA,589
2021-05-18,1168,861,"1014,5",NA,568
2021-05-19,1180,839,"1009,5",NA,548
2021-05-20,1158,821,"989,5",NA,530
2021-05-21,1161,795,978,NA,514
2021-05-22,1168,778,973,NA,498
2021-05-23,1176,756,966,NA,484
2021-05-24,1184,727,"955,5",NA,469
2021-05-25,1191,704,"947,5",NA,455
2021-05-26,1194,687,"940,5",NA,440
2021-05-27,1172,665,"918,5",NA,426
2021-05-28,1182,642,912,NA,412
2021-05-29,1200,626,913,NA,398
2021-05-30,1209,603,906,NA,383
2021-05-31,1206,589,"897,5",NA,369
2021-06-01,1228,571,"899,5",NA,354
2021-06-02,1250,557,"903,5",NA,340
2021-06-03,1274,539,"906,5",NA,327
2021-06-04,1293,521,907,NA,313
2021-06-05,1292,503,"897,5",NA,301
2021-06-06,1309,489,899,NA,288
2021-06-07,1317,473,895,NA,276
2021-06-08,1326,457,"891,5",NA,263
2021-06-09,1336,439,"887,5",NA,251
2021-06-10,1335,424,"879,5",NA,239
2021-06-11,1332,411,"871,5",NA,227
2021-06-12,1331,401,866,NA,215
2021-06-13,1340,382,861,NA,204
2021-06-14,1364,373,"868,5",NA,193
