date,high,low,median,reality_report,reality
2021-01-15,1227,1227,1227,1227,1220
2021-01-16,1236,1236,1236,1236,1241
2021-01-17,1251,1251,1251,1251,1262
2021-01-18,1251,1251,1251,1251,1280
2021-01-19,1284,1284,1284,1284,1295
2021-01-20,1294,1294,1294,1294,1307
2021-01-21,1293,1293,1293,1293,1317
2021-01-22,1293,1293,1293,1293,1323
2021-01-23,1293,1293,1293,1293,1328
2021-01-24,1299,1299,1299,1299,1331
2021-01-25,1314,1314,1314,1314,1333
2021-01-26,1337,1337,1337,1337,1334
2021-01-27,1336,1336,1336,1336,1335
2021-01-28,1337,1337,1337,1337,1335
2021-01-29,1337,1337,1337,1337,1334
2021-01-30,1327,1327,1327,1327,1331
2021-01-31,1314,1314,1314,1314,1327
2021-02-01,1316,1316,1316,1316,1320
2021-02-02,1303,1303,1303,1303,1311
2021-02-03,1292,1292,1292,1292,1300
2021-02-04,1289,1289,1289,1289,1286
2021-02-05,1256,1256,1256,1256,1270
2021-02-06,1249,1249,1249,1249,1251
2021-02-07,1244,1244,1244,1244,1230
2021-02-08,1212,1212,1212,1212,1209
2021-02-09,1183,1183,1183,1183,1187
2021-02-10,1177,1177,1177,1177,1167
2021-02-11,1145,1145,1145,1145,1149
2021-02-12,1117,1117,1117,1117,1135
2021-02-13,1109,1109,1109,1109,1123
2021-02-14,1076,1076,1076,1076,1115
2021-02-15,1093,1055,1074,NA,1111
2021-02-16,1094,1082,1088,NA,1110
2021-02-17,1077,1050,"1063,5",NA,1112
2021-02-18,1046,1052,1049,NA,1116
2021-02-19,1027,1050,"1038,5",NA,1122
2021-02-20,1010,1059,"1034,5",NA,1130
2021-02-21,982,963,"972,5",NA,1139
2021-02-22,986,1022,1004,NA,1148
2021-02-23,964,945,"954,5",NA,1158
2021-02-24,940,937,"938,5",NA,1166
2021-02-25,925,934,"929,5",NA,1173
2021-02-26,918,943,"930,5",NA,1179
2021-02-27,925,967,946,NA,1182
2021-02-28,942,962,952,NA,1184
2021-03-01,941,959,950,NA,1185
2021-03-02,965,863,914,NA,1187
2021-03-03,956,887,"921,5",NA,1188
2021-03-04,1035,904,"969,5",NA,1190
2021-03-05,1060,918,989,NA,1194
2021-03-06,1090,919,"1004,5",NA,1198
2021-03-07,1123,927,1025,NA,1205
2021-03-08,1190,938,1064,NA,1214
2021-03-09,1246,950,1098,NA,1226
2021-03-10,1276,961,"1118,5",NA,1240
2021-03-11,1365,967,1166,NA,1258
2021-03-12,1447,964,"1205,5",NA,1280
2021-03-13,1529,985,1257,NA,1303
2021-03-14,1582,990,1286,NA,1330
2021-03-15,1694,1008,1351,NA,1357
2021-03-16,1781,1052,"1416,5",NA,1386
2021-03-17,1869,1095,1482,NA,1416
2021-03-18,1986,1143,"1564,5",NA,1447
2021-03-19,2111,1160,"1635,5",NA,1476
2021-03-20,2181,1226,"1703,5",NA,1504
2021-03-21,2347,1236,"1791,5",NA,1529
2021-03-22,2476,1301,"1888,5",NA,1552
2021-03-23,2602,1360,1981,NA,1575
2021-03-24,2734,1419,"2076,5",NA,1598
2021-03-25,2921,1479,2200,NA,1622
2021-03-26,3049,1539,2294,NA,1646
2021-03-27,3231,1598,"2414,5",NA,1670
2021-03-28,3407,1658,"2532,5",NA,1693
2021-03-29,3579,1715,2647,NA,1717
2021-03-30,3729,1807,2768,NA,1739
2021-03-31,3922,1839,"2880,5",NA,1760
2021-04-01,4124,1930,3027,NA,1780
