date,high,low,median,reality_report,reality
2020-10-01,1016,1016,1016,1243,1271
2020-10-02,1034,1034,1034,1260,1288
2020-10-03,1081,1081,1081,1348,1356
2020-10-04,1138,1138,1138,1366,1399
2020-10-05,1168,1168,1168,1373,1396
2020-10-06,1228,1228,1228,1398,1393
2020-10-07,1248,1248,1248,1413,1420
2020-10-08,1323,1323,1323,1438,1450
2020-10-09,1381,1381,1381,1431,1472
2020-10-10,1421,1421,1421,1478,1536
2020-10-11,1505,1505,1505,1539,1596
2020-10-12,1534,1534,1534,1640,1659
2020-10-13,1609,1609,1609,1695,1711
2020-10-14,1613,1613,1613,1749,1799
2020-10-15,1721,1721,1721,1822,1850
2020-10-16,1773,1773,1773,1889,1933
2020-10-17,1870,1870,1870,1971,2033
2020-10-18,1956,1956,1956,2107,2168
2020-10-19,2038,2038,2038,2209,2238
2020-10-20,2147,2147,2147,2275,2332
2020-10-21,2256,2256,2256,2368,2381
2020-10-22,2363,2363,2363,2423,2500
2020-10-23,2492,2492,2492,2568,2618
2020-10-24,2651,2651,2651,2674,2743
2020-10-25,2769,2769,2769,2823,2905
2020-10-26,2944,2944,2944,2941,3016
2020-10-27,3097,3097,3097,3052,3101
2020-10-28,3340,3340,3340,NA,3227
2020-10-29,3529,3529,3529,NA,3387
2020-10-30,3707,3707,3707,NA,3520
2020-10-31,3919,3919,3919,NA,3658
2020-11-01,4184,4184,4184,NA,3851
2020-11-02,4381,4381,4381,NA,4016
2020-11-03,4649,4396,"4522,5",NA,4121
2020-11-04,4892,4609,"4750,5",NA,4265
2020-11-05,5139,4858,"4998,5",NA,4398
2020-11-06,5377,5088,"5232,5",NA,4471
2020-11-07,5602,5262,5432,NA,4623
2020-11-08,5824,5435,"5629,5",NA,4762
2020-11-09,6047,5514,"5780,5",NA,4774
2020-11-10,6274,5589,"5931,5",NA,4775
2020-11-11,6476,5633,"6054,5",NA,4871
2020-11-12,6659,5632,"6145,5",NA,4866
2020-11-13,6827,5625,6226,NA,4810
2020-11-14,6996,5611,"6303,5",NA,4839
2020-11-15,7131,5511,6321,NA,4917
2020-11-16,7281,5500,"6390,5",NA,4827
2020-11-17,7414,5344,6379,NA,4743
2020-11-18,7540,5155,"6347,5",NA,4612
2020-11-19,7643,5057,6350,NA,4547
2020-11-20,7742,4949,"6345,5",NA,4420
2020-11-21,7843,4762,"6302,5",NA,4397
2020-11-22,7938,4599,"6268,5",NA,4375
2020-11-23,8019,4423,6221,NA,4217
2020-11-24,8099,4259,6179,NA,4067
2020-11-25,8165,4091,6128,NA,3948
2020-11-26,8224,3926,6075,NA,3815
2020-11-27,8282,3751,"6016,5",NA,3708
2020-11-28,8333,3630,"5981,5",NA,3680
2020-11-29,8383,3427,5905,NA,3691
2020-11-30,8425,3261,5843,NA,3549
2020-12-01,8460,3114,5787,NA,3428
2020-12-02,8494,2966,5730,NA,3355
2020-12-03,8522,2821,"5671,5",NA,3258
2020-12-04,8538,2630,5584,NA,3163
2020-12-05,8580,2538,5559,NA,3147
2020-12-06,8587,2430,"5508,5",NA,3185
2020-12-07,8602,2273,"5437,5",NA,3079
2020-12-08,8612,2186,5399,NA,3016
2020-12-09,8636,2052,5344,NA,2966
2020-12-10,8636,1937,"5286,5",NA,2852
2020-12-11,8636,1843,"5239,5",NA,2808
2020-12-12,8628,1740,5184,NA,2845
2020-12-13,8636,1641,"5138,5",NA,2876
2020-12-14,8643,1550,"5096,5",NA,2845
2020-12-15,NA,NA,,NA,2780
