date,low,high,median,reality_report,reality
2021-01-01,NA,NA,NA,2595,2496
2021-01-02,NA,NA,NA,2618,2553
2021-01-03,2429,2429,2429,2647,2597
2021-01-04,2437,2437,2437,2635,2653
2021-01-05,2445,2445,2445,2575,2613
2021-01-06,2447,2447,2447,2554,2552
2021-01-07,2471,2471,2471,2546,2542
2021-01-08,2482,2482,2482,2538,2546
2021-01-09,2482,2482,2482,2603,2527
2021-01-10,2495,2495,2495,2637,2584
2021-01-11,2505,2505,2505,2644,2638
2021-01-12,2525,2525,2525,2646,2601
2021-01-13,2564,2564,2564,2653,2659
2021-01-14,2572,2572,2572,2665,2657
2021-01-15,2599,2599,2599,2694,2643
2021-01-16,2646,2646,2646,2750,2664
2021-01-17,2683,2683,2683,2806,2741
2021-01-18,2720,2720,2720,2796,2817
2021-01-19,2765,2765,2765,2794,2792
2021-01-20,2794,2794,2794,2887,2822
2021-01-21,2835,2835,2835,2920,2877
2021-01-22,2876,2876,2876,2912,2906
2021-01-23,2914,2914,2914,3023,2896
2021-01-24,2953,2953,2953,3089,2987
2021-01-25,2995,2995,2995,3126,3074
2021-01-26,3034,3034,3034,3131,3112
2021-01-27,3075,3075,3075,3136,3118
2021-01-28,3129,3129,3129,3141,3123
2021-01-29,3132,3132,3132,3114,3123
2021-01-30,3203,3203,3203,3149,3093
2021-01-31,3219,3219,3219,3221,3152
2021-02-01,3233,3233,3233,3239,3226
2021-02-02,3245,3245,3245,3244,3251
2021-02-03,3269,3269,3269,3219,3245
2021-02-04,3269,3269,3269,3219,3233
2021-02-05,3268,3268,3268,3226,3233
2021-02-06,3283,3283,3283,3289,3222
2021-02-07,3291,3291,3291,3338,3271
2021-02-08,3294,3294,3294,3359,3359
2021-02-09,3291,3291,3291,3319,3320
2021-02-10,3314,3314,3314,3336,3298
2021-02-11,3326,3326,3326,3288,3293
2021-02-12,3346,3346,3346,3325,3284
2021-02-13,3353,3353,3353,3320,3272
2021-02-14,3354,3354,3354,3372,3323
2021-02-15,3371,3371,3371,3350,3397
2021-02-16,3357,3357,3357,3369,3352
2021-02-17,3370,3370,3370,3343,3320
2021-02-18,3369,3369,3369,3315,3321
2021-02-19,3366,3366,3366,3307,3315
2021-02-20,3392,3392,3392,3318,3269
2021-02-21,3392,3392,3392,3363,3337
2021-02-22,3410,3410,3410,3405,3407
2021-02-23,3371,3371,3371,3422,3435
2021-02-24,3402,3402,3402,3382,3384
2021-02-25,3392,3392,3392,3407,3379
2021-02-26,3394,3394,3394,3458,3398
2021-02-27,3399,3399,3399,3515,3419
