date,reality,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40
2021/03/09,1245,1245,1245,1245,1245,1245,1245,1245,1245,1245,1245,1245,1245
2021/03/10,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
2021/03/11,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270
2021/03/12,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,1281
2021/03/13,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294
2021/03/14,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318
2021/03/15,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348
2021/03/16,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390
2021/03/17,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430,1430
2021/03/18,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453,1453
2021/03/19,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467
2021/03/20,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
2021/03/21,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516,1516
2021/03/22,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542
2021/03/23,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
2021/03/24,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595
2021/03/25,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641
2021/03/26,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
2021/03/27,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
2021/03/28,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692,1692
