date,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,reality_report,reality
2021-03-05,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1209,1194
2021-03-06,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1218,1198
2021-03-07,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1218,1205
2021-03-08,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1235,1214
2021-03-09,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1245,1226
2021-03-10,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1253,1240
2021-03-11,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1270,1258
2021-03-12,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1281,1280
2021-03-13,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1294,1303
2021-03-14,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1318,1330
2021-03-15,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1348,1357
2021-03-16,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1390,1386
2021-03-17,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1430,1416
2021-03-18,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1453,1447
2021-03-19,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1467,1476
2021-03-20,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1479,1504
2021-03-21,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1516,1529
2021-03-22,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1542,1552
2021-03-23,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1569,1575
2021-03-24,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1595,1598
2021-03-25,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1641,1622
2021-03-26,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1656,1646
2021-03-27,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,1669,1670
2021-03-28,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1692,1693
2021-03-29,1699,1699,1699,1699,1699,1699,1699,1699,1699,1699,1699,1699,1729,1717
2021-03-30,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1716,1746,1739
2021-03-31,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1765,1760
2021-04-01,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1780,1780
2021-04-02,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758,1788,1798
2021-04-03,1781,1781,1781,1781,1781,1781,1781,1781,1781,1781,1781,1781,1811,1811
2021-04-04,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1808,1819
2021-04-05,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791,1821,1820
2021-04-06,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1837,1816
2021-04-07,1806,1806,1806,1806,1806,1806,1806,1806,1806,1806,1806,1806,1836,1806
2021-04-08,1806,1806,1806,1806,1806,1806,1806,1806,1806,1806,1806,1806,1836,1794
2021-04-09,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1810,1778
2021-04-10,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1790,1758
2021-04-11,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1774,1736
2021-04-12,1699,1674,1699,1674,1699,1674,1699,1674,1699,1674,1699,1674,1729,1713
2021-04-13,1698,1669,1698,1669,1698,1669,1698,1669,1698,1669,1698,1669,1728,1690
2021-04-14,1687,1664,1687,1664,1687,1664,1687,1664,1687,1664,1687,1664,1717,1668
2021-04-15,1657,1651,1657,1651,1657,1651,1657,1651,1657,1651,1657,1651,1687,1648
2021-04-16,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,1639,1669,1630
2021-04-17,1608,1634,1608,1634,1608,1634,1608,1634,1608,1634,1608,1634,1638,1614
2021-04-18,1582,1615,1582,1615,1582,1615,1582,1615,1582,1615,1582,1615,1612,1597
2021-04-19,1573,1639,1573,1639,1573,1639,1573,1639,1573,1639,1573,1639,1603,1579
2021-04-20,1556,1659,1556,1659,1556,1659,1556,1659,1556,1659,1556,1659,1586,1559
2021-04-21,1546,1636,1546,1636,1546,1636,1546,1636,1546,1636,1546,1636,1576,1537
2021-04-22,1530,1637,1530,1637,1530,1637,1530,1637,1530,1637,1530,1637,1560,1511
2021-04-23,1530,1628,1530,1628,1530,1628,1530,1628,1530,1628,1530,1628,1560,1483
2021-04-24,1511,1619,1511,1619,1511,1619,1511,1619,1511,1619,1511,1619,1541,1451
2021-04-25,1449,1606,1449,1606,1449,1606,1449,1606,1449,1606,1449,1606,NA,1416
2021-04-26,1429,1595,1429,1595,1429,1595,1429,1595,1429,1595,1429,1595,NA,1376
2021-04-27,1416,1595,1416,1595,1416,1595,1416,1595,1416,1595,1416,1595,NA,1333
2021-04-28,1384,1577,1384,1577,1384,1577,1384,1577,1384,1577,1384,1577,NA,1287
2021-04-29,1356,1553,1356,1553,1356,1553,1356,1553,1356,1553,1356,1553,NA,1240
2021-04-30,1314,1531,1314,1531,1314,1531,1314,1531,1314,1531,1314,1531,NA,1193
2021-05-01,1293,1508,1293,1508,1293,1508,1293,1508,1293,1508,1293,1508,NA,1146
2021-05-02,1266,1512,1266,1512,1266,1512,1266,1512,1266,1512,1266,1512,NA,1099
2021-05-03,1248,1493,1248,1493,1248,1493,1248,1493,1248,1493,1248,1493,NA,1052
2021-05-04,1230,1441,1230,1441,1230,1441,1230,1441,1230,1441,1230,1441,NA,1006
2021-05-05,1173,1416,1173,1416,1173,1416,1174,1416,1174,1416,1174,1416,NA,961
2021-05-06,1155,1408,1155,1408,1155,1408,1164,1408,1164,1408,1164,1408,NA,917
2021-05-07,1135,1386,1135,1386,1135,1386,1141,1386,1141,1386,1141,1386,NA,876
2021-05-08,1104,1363,1104,1363,1104,1363,1114,1363,1114,1363,1114,1363,NA,836
2021-05-09,1058,1343,1058,1343,1058,1343,1086,1343,1086,1343,1086,1343,NA,797
2021-05-10,1030,1332,1030,1332,1030,1332,1037,1332,1037,1332,1037,1332,NA,760
2021-05-11,995,1305,995,1305,995,1305,1007,1305,1007,1305,1007,1305,NA,725
2021-05-12,968,1287,968,1287,968,1287,980,1287,980,1287,980,1287,NA,692
2021-05-13,941,1279,941,1279,941,1279,956,1279,956,1279,956,1279,NA,661
2021-05-14,915,1230,915,1230,915,1230,926,1230,926,1230,926,1230,NA,632
2021-05-15,885,1181,885,1181,885,1181,896,1181,896,1181,896,1181,NA,606
2021-05-16,860,1174,860,1174,860,1174,879,1174,879,1174,879,1174,NA,582
2021-05-17,841,1160,841,1160,841,1160,853,1160,853,1160,853,1160,NA,559
2021-05-18,820,1138,820,1138,820,1142,831,1138,831,1138,831,1138,NA,538
2021-05-19,802,1122,802,1150,802,1125,809,1122,809,1150,809,1150,NA,518
2021-05-20,784,1129,784,1128,784,1126,791,1129,791,1128,791,1128,NA,500
2021-05-21,765,1101,765,1131,765,1113,765,1101,799,1131,758,1131,NA,484
2021-05-22,756,1072,756,1138,756,1104,748,1072,789,1138,751,1138,NA,468
2021-05-23,743,1043,797,1146,733,1094,726,1014,776,1146,730,1146,NA,454
2021-05-24,734,1014,801,1154,738,1083,697,1000,767,1154,711,1004,NA,439
2021-05-25,727,1015,803,1161,737,1074,674,985,760,1161,696,996,NA,425
2021-05-26,716,999,796,1164,742,1063,657,973,744,1048,676,978,NA,410
2021-05-27,704,988,801,1142,741,1061,635,970,737,1059,667,973,NA,396
2021-05-28,688,975,809,1152,743,1061,612,918,734,1033,652,967,NA,382
2021-05-29,668,978,818,1170,739,1061,596,844,732,1024,642,944,NA,368
2021-05-30,659,961,829,1179,739,1060,573,826,713,1017,633,915,NA,353
2021-05-31,649,938,838,1176,743,1056,559,803,705,1016,630,887,NA,339
2021-06-01,645,915,849,1198,743,1026,541,779,700,1006,617,865,NA,324
2021-06-02,632,897,862,1220,743,1016,527,775,697,994,605,865,NA,310
2021-06-03,627,892,867,1244,743,1045,509,740,689,982,595,847,NA,297
2021-06-04,618,878,887,1263,743,1049,491,698,688,971,583,823,NA,283
2021-06-05,606,865,895,1262,742,1052,473,664,682,964,566,811,NA,271
2021-06-06,598,850,905,1279,734,1042,459,653,681,953,556,818,NA,258
2021-06-07,591,855,915,1287,735,1042,443,632,669,943,547,817,NA,246
2021-06-08,582,834,924,1296,735,1037,427,610,659,932,531,805,NA,233
2021-06-09,573,815,933,1306,734,1032,409,595,651,919,518,800,NA,221
2021-06-10,563,793,942,1305,727,1028,394,522,642,917,508,736,NA,209
2021-06-11,551,771,952,1302,729,1019,381,496,638,897,497,722,NA,197
2021-06-12,542,752,964,1301,738,1023,371,484,635,872,487,686,NA,185
2021-06-13,533,735,973,1310,739,1021,352,487,628,847,487,667,NA,174
2021-06-14,524,735,982,1334,735,1017,343,479,621,824,478,664,NA,163
2021-06-15,516,726,992,1355,726,1013,332,465,616,844,465,649,NA,152
