date,reality,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1,med,min,max,error_min,error_med,error_max
2021-05-07,4775,4988,4988,4988,4988,4823,4823,4823,4823,4900,4900,4823,4988,0.7,1.8,3.1
2021-05-08,4660,4807,4807,4807,4807,4731,4731,4731,4731,4792,4792,4731,4807,1,1.9,2.1
2021-05-09,4545,4740,4740,4740,4740,4606,4606,4606,4606,4625,4625,4606,4740,0.9,1.2,2.8
2021-05-10,4430,4653,4653,4653,4653,4440,4440,4440,4440,4499,4499,4440,4653,0.1,1,3.2
2021-05-11,4316,4492,4492,4492,4492,4297,4297,4297,4297,4357,4357,4297,4492,-0.3,0.6,2.5
2021-05-12,4203,4286,4286,4286,4286,4158,4158,4158,4158,4215,4215,4158,4286,-0.6,0.2,1.2
2021-05-13,4093,4196,4196,4196,4196,4031,4031,4031,4031,4095,4095,4031,4196,-0.9,0,1.5
2021-05-14,3985,4049,4049,4049,4049,3868,3868,3868,3868,3927,3927,3868,4049,-1.7,-0.8,0.9
2021-05-15,3880,3917,3917,3917,3917,3749,3749,3749,3749,3782,3782,3749,3917,-1.9,-1.4,0.5
2021-05-16,3778,3839,3839,3839,3839,3599,3599,3599,3599,3627,3627,3599,3839,-2.6,-2.2,0.9
2021-05-17,3679,3628,3628,3628,3628,3494,3494,3494,3494,3501,3501,3494,3628,-2.7,-2.6,-0.7
2021-05-18,3583,3439,3439,3439,3439,3401,3401,3401,3401,3372,3401,3372,3439,-3,-2.6,-2.1
2021-05-19,3490,3297,3297,3297,3297,3310,3310,3310,3310,3263,3297,3263,3310,-3.3,-2.8,-2.6
2021-05-20,3400,3183,3183,3183,3183,3182,3182,3182,3182,3136,3182,3136,3183,-3.8,-3.1,-3.1
2021-05-21,3312,3068,3068,3068,3068,3071,3071,3071,3071,2983,3068,2983,3071,-4.7,-3.5,-3.5
2021-05-22,3228,2977,2977,2977,2977,2927,2927,2927,2927,2877,2927,2877,2977,-5.1,-4.3,-3.6
2021-05-23,3145,2863,2863,2863,2863,2808,2808,2808,2808,2768,2808,2768,2863,-5.4,-4.9,-4.1
2021-05-24,3065,2741,2741,2741,2741,2687,2687,2687,2687,2644,2687,2644,2741,-6.1,-5.4,-4.7
2021-05-25,2987,2637,2637,2637,2637,2564,2564,2564,2564,2532,2564,2532,2637,-6.6,-6.1,-5
2021-05-26,2910,2547,2547,2547,2547,2434,2434,2434,2434,2440,2440,2434,2547,-6.9,-6.8,-5.2
2021-05-27,2836,2445,2445,2445,2445,2317,2317,2317,2317,2315,2317,2315,2445,-7.5,-7.5,-5.6
2021-05-28,2763,2355,2355,2355,2355,2238,2238,2238,2238,2209,2238,2209,2355,-8,-7.6,-5.9
2021-05-29,2691,2289,2289,2289,2289,2146,2146,2146,2146,2126,2146,2126,2289,-8.1,-7.9,-5.8
2021-05-30,2621,2177,2177,2177,2177,2069,2069,2069,2069,2038,2069,2038,2177,-8.4,-8,-6.4
2021-05-31,2551,2107,2107,2107,2107,1996,1996,1996,1996,1934,1996,1934,2107,-8.9,-8,-6.4
2021-06-01,2481,1982,1982,1982,1982,1925,1925,1925,1925,1831,1925,1831,1982,-9.4,-8,-7.2
2021-06-02,2412,1883,1822,1970,1985,1851,1851,1851,1851,1744,1851,1744,1985,-9.6,-8.1,-6.2
2021-06-03,2343,1817,1863,1902,1899,1767,1767,1767,1826,1663,1817,1663,1902,-9.8,-7.6,-6.4
2021-06-04,2275,1757,1796,1829,1829,1683,1683,1683,1757,1608,1757,1608,1829,-9.6,-7.5,-6.4
2021-06-05,2208,1717,1720,1772,1784,1610,1610,1610,1698,1519,1698,1519,1784,-9.9,-7.4,-6.1
2021-06-06,2143,1662,1638,1734,1733,1515,1515,1515,1636,1437,1636,1437,1734,-10.2,-7.3,-5.9
2021-06-07,2078,1585,1596,1676,1685,1469,1523,1523,1574,1367,1574,1367,1685,-10.2,-7.3,-5.7
2021-06-08,2014,1527,1546,1638,1659,1388,1508,1514,1528,1282,1527,1282,1659,-10.6,-7,-5.1
2021-06-09,1951,1466,1499,1593,1620,1331,1395,1458,1465,1211,1465,1211,1620,-10.7,-7,-4.8
2021-06-10,1889,1391,1419,1557,1602,1265,1324,1404,1425,1140,1404,1140,1602,-10.8,-7,-4.1
2021-06-11,1828,1326,1381,1527,1579,1215,1274,1365,1386,1085,1365,1085,1579,-10.7,-6.7,-3.6
2021-06-12,1768,1270,1338,1488,1564,1180,1235,1309,1362,1043,1309,1043,1564,-10.5,-6.6,-2.9
2021-06-13,1709,1216,1294,1414,1521,1121,1172,1264,1311,987,1264,987,1521,-10.4,-6.4,-2.7
2021-06-14,1650,1188,1252,1376,1520,1089,1128,1237,1275,914,1237,914,1520,-10.6,-6,-1.9
