date,reality,blue_full_14,blue_dashed_14,purple_full_14,purple_dashed_14,pink_full_14,pink_dashed_14,blue_full_10,blue_dashed_10,purple_full_10,purple_dashed_10,pink_full_10,pink_dashed_10
2021/09/07,,10392,7658,7582,5711,4562,3577,8246,5964,5887,4322,3422,2545
2021/09/08,,10686,7827,7742,5757,4602,3548,8403,5973,5987,4335,3421,2530
2021/09/09,,10910,7894,7956,5803,4631,3513,8550,6038,6095,4349,3432,2511
2021/09/10,,11141,7940,8081,5840,4642,3481,8719,6059,6138,4358,3433,2471
2021/09/11,,11305,8003,8143,5842,4662,3461,8815,6056,6184,4337,3448,2476
2021/09/12,,11515,8164,8263,5881,4662,3463,8906,6079,6242,4310,3433,2432
2021/09/13,,11691,8163,8330,5883,4662,3424,8960,6042,6286,4284,3421,2376
2021/09/14,,11843,8145,8402,5877,4662,3381,8985,6030,6305,4262,3399,2326
2021/09/15,,11946,8126,8466,5854,4640,3359,8999,5984,6304,4216,3369,2314
2021/09/16,,11995,8129,8481,5825,4643,3323,8998,5938,6305,4178,3363,2258
2021/09/17,,12044,8123,8523,5795,4602,3276,8988,5893,6286,4133,3306,2221
2021/09/18,,12025,8096,8520,5767,4559,3230,8964,5849,6233,4129,3289,2226
2021/09/19,,12024,8064,8486,5724,4530,3186,8908,5772,6191,4061,3237,2163
2021/09/20,,12043,7958,8464,5703,4482,3142,8806,5702,6136,3980,3175,2101
2021/09/21,,11974,7862,8417,5619,4457,3080,8662,5627,6056,3914,3118,2041
2021/09/22,,11871,7771,8335,5594,4383,3026,8511,5598,5969,3869,3063,2002
2021/09/23,,11769,7733,8247,5521,4322,3012,8406,5461,5921,3803,2999,1969
2021/09/24,,11652,7653,8178,5424,4237,2958,8265,5345,5815,3730,2925,1933
2021/09/25,,11474,7553,8053,5333,4169,2888,8097,5281,5697,3695,2861,1856
2021/09/26,,11292,7504,7948,5284,4106,2818,7964,5162,5572,3564,2799,1802
2021/09/27,,11075,7324,7794,5199,3997,2743,7740,5061,5446,3438,2706,1722
2021/09/28,,10862,7148,7675,5136,3895,2709,7584,4987,5288,3413,2620,1648
