date,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,reality_report,reality
2021-05-26,746,1029,826,1194,772,1093,687,1003,774,1078,706,1008,NA,410
2021-05-27,734,1018,831,1172,771,1091,665,1000,767,1089,697,1003,NA,396
2021-05-28,718,1005,839,1182,773,1091,642,948,764,1063,682,997,NA,382
2021-05-29,698,1008,848,1200,769,1091,626,874,762,1054,672,974,NA,368
2021-05-30,689,991,859,1209,769,1090,603,856,743,1047,663,945,NA,353
2021-05-31,679,968,868,1206,773,1086,589,833,735,1046,660,917,NA,339
2021-06-01,675,945,879,1228,773,1056,571,809,730,1036,647,895,NA,324
2021-06-02,662,927,892,1250,773,1046,557,805,727,1024,635,895,NA,310
2021-06-03,657,922,897,1274,773,1075,539,770,719,1012,625,877,NA,297
2021-06-04,648,908,917,1293,773,1079,521,728,718,1001,613,853,NA,283
2021-06-05,636,895,925,1292,772,1082,503,694,712,994,596,841,NA,271
2021-06-06,628,880,935,1309,764,1072,489,683,711,983,586,848,NA,258
2021-06-07,621,885,945,1317,765,1072,473,662,699,973,577,847,NA,246
2021-06-08,612,864,954,1326,765,1067,457,640,689,962,561,835,NA,233
2021-06-09,603,845,963,1336,764,1062,439,625,681,949,548,830,NA,221
2021-06-10,593,823,972,1335,757,1058,424,552,672,947,538,766,NA,209
2021-06-11,581,801,982,1332,759,1049,411,526,668,927,527,752,NA,197
2021-06-12,572,782,994,1331,768,1053,401,514,665,902,517,716,NA,185
2021-06-13,563,765,1003,1340,769,1051,382,517,658,877,517,697,NA,174
2021-06-14,554,765,1012,1364,765,1047,373,509,651,854,508,694,NA,163
2021-06-15,546,756,1022,1385,756,1043,362,495,646,874,495,679,NA,152
