date,reality,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line
2021/11/04,,39,51,58,97,96,109,102,117,117,88,88,80,48,48,32
2021/11/05,,35,51,58,97,100,110,112,131,131,89,89,80,48,48,32
2021/11/06,,32,52,58,103,105,114,116,129,129,99,99,84,50,48,29
2021/11/07,,32,53,58,103,106,115,115,129,129,106,105,99,57,48,27
2021/11/08,,29,50,56,97,95,115,122,136,136,98,99,91,56,48,29
2021/11/09,,29,48,54,89,99,115,110,124,124,102,95,87,56,48,17
2021/11/10,,29,55,55,107,111,119,118,132,132,104,103,94,56,48,16
2021/11/11,,26,54,55,110,115,122,137,151,151,112,112,100,56,48,16
2021/11/12,,26,55,55,109,116,123,136,150,150,122,120,104,56,48,16
2021/11/13,,26,54,54,106,120,134,140,155,155,127,122,108,56,48,16
2021/11/14,,22,54,54,103,136,146,152,164,164,138,131,111,55,48,16
2021/11/15,,23,53,53,100,137,144,136,182,173,159,147,110,61,48,16
2021/11/16,,22,55,51,99,144,147,123,196,185,161,151,95,65,48,16
2021/11/17,,23,57,58,102,148,156,116,192,196,160,167,98,64,48,16
2021/11/18,,19,61,61,105,149,157,119,208,194,168,168,101,64,48,16
2021/11/19,,16,61,61,108,158,158,123,210,211,170,179,105,66,48,7
2021/11/20,,16,61,61,111,152,169,128,213,213,171,179,110,73,48,8
2021/11/21,,16,61,61,114,155,179,133,208,210,181,170,114,73,48,12
2021/11/22,,13,52,54,117,159,191,137,208,192,195,182,119,65,48,18
2021/11/23,,13,45,48,116,167,204,145,233,207,213,190,123,65,47,9
2021/11/24,,15,53,53,118,169,217,149,244,232,232,200,127,68,56,8
2021/11/25,,13,55,55,121,176,230,154,235,238,250,201,130,72,56,8
2021/11/26,,13,55,55,125,182,240,159,283,237,275,217,134,76,56,8
2021/11/27,,13,54,54,128,189,250,163,311,267,291,222,138,79,57,7
2021/11/28,,13,58,58,131,193,251,165,337,248,303,233,142,81,52,13
2021/11/29,,13,54,65,131,204,263,157,343,238,327,242,148,86,47,11
2021/11/30,,13,51,71,132,205,263,162,333,292,326,263,154,88,55,8
2021/12/01,,13,59,71,134,215,276,169,312,305,352,264,160,96,56,8
2021/12/02,,13,61,71,136,224,293,177,318,305,376,282,166,96,57,8
2021/12/03,,13,61,71,139,226,311,185,364,323,403,289,171,96,65,8
