date,reality,fig3A_R_1,fig3A_R_1_1,fig3A_R_1_2,fig3A_R_1_3,fig3C_R_1,fig3C_R_1_1,fig3C_R_1_2,fig3C_R_1_3,fig3E_R_1
2021/03/26,4758,4689,4689,4689,4689,4689,4689,4689,4689,4689
2021/03/27,4829,4775,4775,4775,4775,4775,4775,4775,4775,4775
2021/03/28,4990,4835,4835,4835,4835,4835,4835,4835,4835,4835
2021/03/29,5009,4905,4905,4905,4905,4905,4905,4905,4905,4905
2021/03/30,5057,4984,4984,4984,4984,4984,4984,4984,4984,4984
2021/03/31,5094,5053,5053,5053,5053,5053,5053,5053,5053,5053
2021/04/01,5142,5104,5104,5104,5104,5253,5253,5253,5253,5152
2021/04/02,5183,5243,5243,5243,5243,5313,5313,5313,5313,5208
2021/04/03,5274,5277,5277,5277,5277,5396,5396,5396,5396,5271
2021/04/04,5379,5324,5324,5324,5324,5433,5433,5433,5433,5375
2021/04/05,5550,5437,5437,5437,5437,5506,5506,5506,5506,5447
2021/04/06,5650,5516,5516,5516,5516,5565,5565,5565,5565,5518
2021/04/07,5615,5568,5568,5568,5568,5617,5617,5617,5617,5573
2021/04/08,5640,5633,5633,5633,5633,5681,5681,5681,5681,5611
2021/04/09,5675,5689,5689,5689,5689,5724,5724,5724,5724,5687
2021/04/10,5764,5713,5713,5713,5713,5742,5742,5742,5742,5696
2021/04/11,5856,5769,5769,5769,5769,5799,5799,5799,5799,5758
2021/04/12,5927,5820,5820,5820,5820,5828,5828,5828,5828,5784
2021/04/13,5884,5821,5821,5821,5821,5843,5843,5843,5843,5799
2021/04/14,5824,5855,5855,5855,5855,5866,5866,5866,5866,5810
2021/04/15,5798,5916,5916,5916,5916,5889,5889,5889,5889,5849
2021/04/16,5818,5941,5941,5941,5941,5912,5912,5912,5912,5860
2021/04/17,5817,5926,5926,5926,5926,5900,5900,5900,5900,5902
2021/04/18,5842,5929,5929,5929,5929,5900,5900,5900,5900,5890
2021/04/19,5906,5960,5960,5960,5960,5900,5900,5900,5900,5914
2021/04/20,5899,5938,5938,5938,5938,5900,5900,5900,5900,5899
2021/04/21,5875,5933,5933,5933,5933,5882,5882,5882,5882,5899
2021/04/22,5853,5912,5912,5912,5912,5868,5868,5868,5868,5870
2021/04/23,5839,5889,5889,5889,5889,5844,5844,5844,5844,5871
2021/04/24,5850,5840,5840,5840,5840,5812,5812,5812,5812,5857
2021/04/25,5913,5858,5858,5858,5858,5780,5780,5780,5780,5842
2021/04/26,5866,5817,5817,5817,5817,5748,5748,5748,5748,5776
2021/04/27,5826,5788,5788,5788,5788,5691,5691,5691,5691,5718
2021/04/28,5717,5759,5759,5759,5759,5623,5623,5623,5623,5665
2021/04/29,5637,5711,5711,5711,5711,5572,5572,5572,5572,5598
2021/04/30,5506,5637,5637,5637,5637,5534,5534,5534,5534,5548
2021/05/01,5494,5576,5576,5576,5576,5488,5488,5488,5488,5509
2021/05/02,5495,5517,5517,5517,5517,5436,5436,5436,5436,5448
2021/05/03,5381,5428,5428,5428,5428,5329,5329,5329,5329,5403
2021/05/04,5258,5368,5368,5368,5368,5223,5223,5223,5223,5265
2021/05/05,5138,5234,5234,5234,5234,5065,5065,5065,5065,5109
2021/05/06,5009,5074,5074,5074,5074,4948,4948,4948,4948,4989
2021/05/07,4825,4988,4988,4988,4988,4823,4823,4823,4823,4900
2021/05/08,4771,4807,4807,4807,4807,4731,4731,4731,4731,4792
2021/05/09,4718,4740,4740,4740,4740,4606,4606,4606,4606,4625
2021/05/10,4715,4653,4653,4653,4653,4440,4440,4440,4440,4499
2021/05/11,4546,4492,4492,4492,4492,4297,4297,4297,4297,4357
2021/05/12,4409,4286,4286,4286,4286,4158,4158,4158,4158,4215
2021/05/13,4279,4196,4196,4196,4196,4031,4031,4031,4031,4095
2021/05/14,4187,4049,4049,4049,4049,3868,3868,3868,3868,3927
2021/05/15,,3917,3917,3917,3917,3749,3749,3749,3749,3782
2021/05/16,,3839,3839,3839,3839,3599,3599,3599,3599,3627
2021/05/17,,3628,3628,3628,3628,3494,3494,3494,3494,3501
2021/05/18,,3439,3439,3439,3439,3401,3401,3401,3401,3372
2021/05/19,,3297,3297,3297,3297,3310,3310,3310,3310,3263
2021/05/20,,3183,3183,3183,3183,3182,3182,3182,3182,3136
2021/05/21,,3068,3068,3068,3068,3071,3071,3071,3071,2983
2021/05/22,,2977,2977,2977,2977,2927,2927,2927,2927,2877
2021/05/23,,2863,2863,2863,2863,2808,2808,2808,2808,2768
2021/05/24,,2741,2741,2741,2741,2687,2687,2687,2687,2644
2021/05/25,,2637,2637,2637,2637,2564,2564,2564,2564,2532
2021/05/26,,2547,2547,2547,2547,2434,2434,2434,2434,2440
2021/05/27,,2445,2445,2445,2445,2317,2317,2317,2317,2315
2021/05/28,,2355,2355,2355,2355,2238,2238,2238,2238,2209
2021/05/29,,2289,2289,2289,2289,2146,2146,2146,2146,2126
2021/05/30,,2177,2177,2177,2177,2069,2069,2069,2069,2038
2021/05/31,,2107,2107,2107,2107,1996,1996,1996,1996,1934
2021/06/01,,1982,1982,1982,1982,1925,1925,1925,1925,1831
2021/06/02,,1883,1822,1970,1985,1851,1851,1851,1851,1744
2021/06/03,,1817,1863,1902,1899,1767,1767,1767,1826,1663
2021/06/04,,1757,1796,1829,1829,1683,1683,1683,1757,1608
2021/06/05,,1717,1720,1772,1784,1610,1610,1610,1698,1519
2021/06/06,,1662,1638,1734,1733,1515,1515,1515,1636,1437
2021/06/07,,1585,1596,1676,1685,1469,1523,1523,1574,1367
2021/06/08,,1527,1546,1638,1659,1388,1508,1514,1528,1282
2021/06/09,,1466,1499,1593,1620,1331,1395,1458,1465,1211
2021/06/10,,1391,1419,1557,1602,1265,1324,1404,1425,1140
