date,reality,R_1_2,R_1_1,R_1,R_0_9,R_0_8,R_0_7,med,min,max,error_min,error_med,error_max
2020-12-03,3291,8522,6868,5512,4404,3494,2821,4958,2821,8522,-6.8,24,75.4
2020-12-04,3225,8538,6818,5414,4286,3393,2630,4850,2630,8538,-8.6,23.4,76.6
2020-12-05,3163,8580,6768,5316,4161,3292,2538,4738.5,2538,8580,-9,22.7,78.1
2020-12-06,3106,8587,6716,5228,4043,3173,2430,4635.5,2430,8587,-9.7,22,79
2020-12-07,3053,8602,6659,5128,3886,3015,2273,4507,2273,8602,-11.2,21,80
2020-12-08,3005,8612,6617,5027,3783,2893,2186,4405,2186,8612,-11.8,20.2,80.8
2020-12-09,2961,8636,6550,4942,3709,2783,2052,4325.5,2052,8636,-13.1,19.7,81.8
2020-12-10,2922,8636,6499,4842,3580,2674,1937,4211,1937,8636,-14.2,18.6,82.4
2020-12-11,2887,8636,6444,4756,3479,2536,1843,4117.5,1843,8636,-15,17.7,82.9
2020-12-12,2855,8628,6376,4656,3365,2425,1740,4010.5,1740,8628,-16.1,16.7,83.2
2020-12-13,2826,8636,6315,4571,3264,2331,1641,3917.5,1641,8636,-17.1,15.7,83.8
2020-12-14,2798,8643,6249,4469,3163,2220,1550,3816,1550,8643,-18,14.7,84.3
